accuracy,id,lat,lng,speed,time,type,state,stepCount
70.0,0,37.531989,126.644535,0.00,1692358811000,START,AUTOMOBILE,412
20.1,0,37.530911,126.644631,8.36,1692358824000,NORMAL,AUTOMOBILE,412
19.3,0,37.530826,126.644635,8.47,1692358825000,NORMAL,AUTOMOBILE,412
18.7,0,37.530745,126.644609,8.36,1692358826000,NORMAL,AUTOMOBILE,412
17.9,0,37.530601,126.644592,8.24,1692358828000,NORMAL,AUTOMOBILE,412
17.9,0,37.530556,126.644589,7.03,1692358829000,NORMAL,AUTOMOBILE,412
13.4,0,37.530494,126.644572,7.17,1692358830000,NORMAL,AUTOMOBILE,412
13.0,0,37.530426,126.644558,7.33,1692358831000,NORMAL,AUTOMOBILE,412
12.9,0,37.530370,126.644557,7.17,1692358832000,NORMAL,AUTOMOBILE,412
12.6,0,37.530332,126.644545,5.86,1692358833000,NORMAL,AUTOMOBILE,412
10.2,0,37.530283,126.644558,5.59,1692358834000,NORMAL,AUTOMOBILE,412
10.2,0,37.530240,126.644573,6.82,1692358835000,NORMAL,AUTOMOBILE,412
10.2,0,37.530165,126.644585,7.67,1692358836000,NORMAL,AUTOMOBILE,412
10.2,0,37.530101,126.644584,7.45,1692358837000,NORMAL,AUTOMOBILE,412
10.2,0,37.530028,126.644582,7.67,1692358838000,NORMAL,AUTOMOBILE,412
10.1,0,37.529943,126.644582,8.53,1692358839000,NORMAL,AUTOMOBILE,412
10.1,0,37.529853,126.644577,9.36,1692358840000,NORMAL,AUTOMOBILE,412
9.8,0,37.529774,126.644575,9.36,1692358841000,NORMAL,AUTOMOBILE,412
9.5,0,37.529698,126.644573,9.09,1692358842000,NORMAL,AUTOMOBILE,412
8.2,0,37.529632,126.644577,8.26,1692358843000,NORMAL,AUTOMOBILE,412
8.2,0,37.529576,126.644569,7.34,1692358844000,NORMAL,AUTOMOBILE,412
8.2,0,37.529524,126.644576,6.63,1692358845000,NORMAL,AUTOMOBILE,412
8.2,0,37.529470,126.644582,6.63,1692358846000,NORMAL,AUTOMOBILE,412
8.7,0,37.529409,126.644566,5.60,1692358847000,NORMAL,AUTOMOBILE,412
8.6,0,37.529368,126.644561,4.72,1692358848000,NORMAL,AUTOMOBILE,412
8.5,0,37.529352,126.644544,3.45,1692358849000,NORMAL,AUTOMOBILE,412
8.4,0,37.529331,126.644516,3.33,1692358850000,NORMAL,AUTOMOBILE,412
8.3,0,37.529327,126.644529,2.94,1692358851000,NORMAL,AUTOMOBILE,412
