accuracy,id,lat,lng,speed,time,type,state,stepCount
80.3,0,37.537493,126.649931,0.00,4789720003371466752,START,WALK,315
58.8,0,37.537298,126.649646,8.33,4789720003391946752,NORMAL,WALK,315
17.1,0,37.536823,126.649740,6.28,4789720003428810752,NORMAL,WALK,315
9.5,0,37.536281,126.649682,6.35,4789720003486154752,NORMAL,AUTOMOBILE,315
23.0,0,37.536050,126.652189,6.64,4789720003609034752,NORMAL,AUTOMOBILE,315
23.0,0,37.536034,126.652248,6.37,4789720003613130752,NORMAL,AUTOMOBILE,315
89.2,0,37.536248,126.655159,0.00,4789720003813834752,STOP,AUTOMOBILE,315
89.2,0,37.536248,126.655159,0.00,4789720006190773748,END,,0
