accuracy,id,lat,lng,speed,time,type,state,stepCount
52.0,0,37.534591,126.649841,0.00,4789732718789066752,START,AUTOMOBILE,409
33.2,0,37.532302,126.649610,5.76,4789732718805450752,NORMAL,AUTOMOBILE,409
9.5,0,37.532125,126.649409,0.76,4789732718854602752,STOP,STATION,409
6.5,0,37.516830,126.648918,15.44,4789732720701898752,NORMAL,AUTOMOBILE,409
8.2,0,37.516018,126.648877,14.76,4789732720726474752,NORMAL,AUTOMOBILE,409
8.2,0,37.515522,126.648863,14.28,4789732720742858752,NORMAL,AUTOMOBILE,409
8.2,0,37.514455,126.648803,16.46,4789732720775626752,NORMAL,AUTOMOBILE,409
8.2,0,37.514162,126.648789,16.47,4789732720783818752,NORMAL,AUTOMOBILE,409
8.1,0,37.513295,126.648749,16.21,4789732720808394752,NORMAL,AUTOMOBILE,409
8.1,0,37.512681,126.648722,16.58,4789732720824778752,NORMAL,AUTOMOBILE,409
8.1,0,37.511822,126.648688,15.92,4789732720849354752,NORMAL,AUTOMOBILE,409
8.1,0,37.511256,126.648658,15.63,4789732720865738752,NORMAL,AUTOMOBILE,409
8.1,0,37.510450,126.648618,14.80,4789732720890314752,NORMAL,AUTOMOBILE,409
8.1,0,37.509955,126.648586,13.06,4789732720910794752,NORMAL,AUTOMOBILE,409
8.1,0,37.509004,126.648540,13.73,4789732720939466752,NORMAL,AUTOMOBILE,409
8.1,0,37.508664,126.648530,12.48,4789732720951754752,NORMAL,AUTOMOBILE,409
8.1,0,37.507657,126.648472,12.11,4789732720988618752,NORMAL,AUTOMOBILE,409
8.1,0,37.507551,126.648466,11.94,4789732720992714752,NORMAL,AUTOMOBILE,409
8.1,0,37.506695,126.648420,13.00,4789732721025482752,NORMAL,AUTOMOBILE,409
8.1,0,37.506456,126.648410,13.05,4789732721033674752,NORMAL,AUTOMOBILE,409
8.1,0,37.505499,126.648358,14.14,4789732721066442752,NORMAL,AUTOMOBILE,409
8.1,0,37.505227,126.648349,15.18,4789732721074634752,NORMAL,AUTOMOBILE,409
8.1,0,37.504389,126.648310,15.40,4789732721099210752,NORMAL,AUTOMOBILE,409
8.1,0,37.503870,126.648280,14.27,4789732721119690752,NORMAL,AUTOMOBILE,409
8.1,0,37.502904,126.648237,14.02,4789732721148362752,NORMAL,AUTOMOBILE,409
8.1,0,37.502506,126.648222,14.67,4789732721160650752,NORMAL,AUTOMOBILE,409
8.1,0,37.501557,126.648185,15.33,4789732721189322752,NORMAL,AUTOMOBILE,409
8.1,0,37.501146,126.648164,14.99,4789732721201610752,NORMAL,AUTOMOBILE,409
8.1,0,37.500177,126.648024,16.56,4789732721230282752,NORMAL,AUTOMOBILE,409
8.1,0,37.499888,126.648088,13.11,4789732721242570752,NORMAL,AUTOMOBILE,409
24.3,0,37.498866,126.648033,13.45,4789732721279434752,NORMAL,AUTOMOBILE,409
24.3,0,37.498744,126.648029,13.60,4789732721283530752,NORMAL,AUTOMOBILE,409
24.3,0,37.497552,126.647971,14.87,4789732721320394752,NORMAL,AUTOMOBILE,409
24.3,0,37.497420,126.647964,14.90,4789732721328586752,NORMAL,AUTOMOBILE,409
24.3,0,37.496147,126.647896,12.06,4789732721369546752,NORMAL,AUTOMOBILE,409
24.3,0,37.496033,126.647890,12.62,4789732721373642752,NORMAL,AUTOMOBILE,409
24.3,0,37.494884,126.647804,12.47,4789732721414602752,NORMAL,AUTOMOBILE,409
24.3,0,37.494777,126.647790,12.14,4789732721418698752,NORMAL,AUTOMOBILE,409
24.3,0,37.493737,126.647726,9.26,4789732721463754752,NORMAL,AUTOMOBILE,409
1455.7,0,37.486246,126.644839,0.00,4789732722115018752,STOP,AUTOMOBILE,409
1455.7,0,37.486246,126.644839,0.00,4789732725691262955,END,,0
