accuracy,id,lat,lng,speed,time,type,state,stepCount
42.9,0,37.554053,126.607404,0.00,4789725240062410752,START,AUTOMOBILE,1655
9.9,0,37.553811,126.606677,8.65,4789725240099274752,NORMAL,AUTOMOBILE,1655
9.5,0,37.553710,126.606656,8.76,4789725240103370752,NORMAL,AUTOMOBILE,1655
8.2,0,37.553110,126.606318,9.09,4789725240144330752,NORMAL,AUTOMOBILE,1655
8.2,0,37.552907,126.605898,15.03,4789725240156618752,NORMAL,AUTOMOBILE,1655
8.2,0,37.552425,126.604692,17.90,4789725240185290752,NORMAL,AUTOMOBILE,1655
8.2,0,37.552338,126.604502,18.53,4789725240189386752,NORMAL,AUTOMOBILE,1655
8.1,0,37.551907,126.603468,21.18,4789725240209866752,NORMAL,AUTOMOBILE,1655
10.5,0,37.551434,126.602102,21.57,4789725240234442752,NORMAL,AUTOMOBILE,1655
16.8,0,37.551015,126.600764,21.21,4789725240259018752,NORMAL,STATION,1655
24.4,0,37.550721,126.599854,21.52,4789725240275402752,NORMAL,AUTOMOBILE,1655
26.8,0,37.550239,126.598510,21.08,4789725240299978752,NORMAL,AUTOMOBILE,1655
24.2,0,37.549918,126.597651,20.97,4789725240316362752,NORMAL,AUTOMOBILE,1655
23.4,0,37.549535,126.595869,20.58,4789725240353226752,NORMAL,AUTOMOBILE,1655
22.7,0,37.549486,126.595627,20.80,4789725240357322752,NORMAL,AUTOMOBILE,1655
19.0,0,37.548898,126.594039,21.35,4789725240385994752,NORMAL,AUTOMOBILE,1655
18.9,0,37.548669,126.593340,20.83,4789725240398282752,NORMAL,AUTOMOBILE,1655
16.1,0,37.548193,126.591946,20.83,4789725240422858752,NORMAL,AUTOMOBILE,1655
15.4,0,37.547685,126.590621,21.13,4789725240447434752,NORMAL,AUTOMOBILE,1655
13.9,0,37.547232,126.589270,23.47,4789725240472010752,NORMAL,AUTOMOBILE,1655
14.3,0,37.546927,126.588320,22.76,4789725240488394752,NORMAL,STATION,1655
12.0,0,37.546658,126.587423,22.03,4789725240504778752,NORMAL,AUTOMOBILE,1655
13.6,0,37.546233,126.586105,21.96,4789725240529354752,NORMAL,STATION,1655
13.7,0,37.546158,126.585871,21.71,4789725240533450752,NORMAL,AUTOMOBILE,1655
16.1,0,37.545800,126.584738,21.56,4789725240553930752,NORMAL,AUTOMOBILE,1655
14.7,0,37.545335,126.583429,21.71,4789725240578506752,NORMAL,AUTOMOBILE,1655
21.9,0,37.544890,126.582047,21.96,4789725240603082752,NORMAL,AUTOMOBILE,1655
21.9,0,37.544531,126.581091,21.51,4789725240619466752,NORMAL,AUTOMOBILE,1655
29.8,0,37.543981,126.579463,21.88,4789725240648138752,NORMAL,AUTOMOBILE,1655
23.7,0,37.543817,126.578683,21.66,4789725240660426752,NORMAL,AUTOMOBILE,1655
21.0,0,37.543298,126.577274,21.74,4789725240685002752,NORMAL,AUTOMOBILE,1655
19.6,0,37.543065,126.576402,21.54,4789725240701386752,NORMAL,AUTOMOBILE,1655
23.9,0,37.542661,126.575043,21.16,4789725240725962752,NORMAL,AUTOMOBILE,1655
23.4,0,37.542258,126.574082,22.31,4789725240742346752,NORMAL,STATION,1655
34.4,0,37.541829,126.572985,18.39,4789725240766922752,NORMAL,STATION,1655
27.5,0,37.541498,126.571761,21.02,4789725240787402752,NORMAL,STATION,1655
31.9,0,37.541057,126.570559,22.03,4789725240807882752,NORMAL,AUTOMOBILE,1655
13.0,0,37.540910,126.569345,21.80,4789725240828362752,NORMAL,AUTOMOBILE,1655
11.6,0,37.540882,126.569097,21.75,4789725240832458752,NORMAL,AUTOMOBILE,1655
8.5,0,37.540690,126.567888,21.80,4789725240852938752,NORMAL,AUTOMOBILE,1655
8.2,0,37.540209,126.566522,21.75,4789725240877514752,NORMAL,AUTOMOBILE,1655
8.2,0,37.539535,126.565295,21.78,4789725240902090752,NORMAL,AUTOMOBILE,1655
8.2,0,37.538991,126.564586,21.74,4789725240918474752,NORMAL,AUTOMOBILE,1655
8.2,0,37.538161,126.563539,21.80,4789725240943050752,NORMAL,AUTOMOBILE,1655
8.2,0,37.537623,126.562846,21.60,4789725240959434752,NORMAL,AUTOMOBILE,1655
8.1,0,37.536816,126.561779,21.77,4789725240984010752,NORMAL,AUTOMOBILE,1655
8.1,0,37.536277,126.561056,21.84,4789725241000394752,NORMAL,AUTOMOBILE,1655
8.2,0,37.535476,126.559983,21.65,4789725241024970752,NORMAL,AUTOMOBILE,1655
8.2,0,37.534942,126.559281,21.41,4789725241041354752,NORMAL,AUTOMOBILE,1655
8.2,0,37.534131,126.558256,21.45,4789725241065930752,NORMAL,AUTOMOBILE,1655
8.2,0,37.533326,126.557188,21.39,4789725241090506752,NORMAL,AUTOMOBILE,1655
8.2,0,37.532517,126.556139,21.75,4789725241115082752,NORMAL,AUTOMOBILE,1655
8.1,0,37.531993,126.555442,21.40,4789725241131466752,NORMAL,AUTOMOBILE,1655
8.2,0,37.531187,126.554375,21.44,4789725241156042752,NORMAL,AUTOMOBILE,1655
8.1,0,37.530645,126.553669,21.53,4789725241172426752,NORMAL,AUTOMOBILE,1655
8.2,0,37.529861,126.552619,21.43,4789725241197002752,NORMAL,AUTOMOBILE,1655
8.2,0,37.529327,126.551902,21.48,4789725241213386752,NORMAL,AUTOMOBILE,1655
8.2,0,37.528532,126.550857,21.45,4789725241237962752,NORMAL,AUTOMOBILE,1655
8.2,0,37.527992,126.550151,21.36,4789725241254346752,NORMAL,AUTOMOBILE,1655
17.3,0,37.527193,126.549102,21.42,4789725241278922752,NORMAL,STATION,1655
17.3,0,37.526804,126.548583,21.10,4789725241291210752,NORMAL,AUTOMOBILE,1655
17.3,0,37.526557,126.548257,20.31,4789725241299402752,NORMAL,STATION,1655
17.3,0,37.525985,126.547497,18.64,4789725241319882752,NORMAL,AUTOMOBILE,1655
7.5,0,37.514612,126.531717,21.11,4789725241717194752,NORMAL,AUTOMOBILE,1655
8.2,0,37.514068,126.530448,21.25,4789725241741770752,NORMAL,STATION,1655
8.2,0,37.513739,126.529612,20.90,4789725241758154752,NORMAL,AUTOMOBILE,1655
8.2,0,37.513651,126.529402,20.93,4789725241762250752,NORMAL,AUTOMOBILE,1655
8.2,0,37.513205,126.528358,20.98,4789725241782730752,NORMAL,AUTOMOBILE,1655
8.2,0,37.512679,126.527092,21.73,4789725241807306752,NORMAL,STATION,1655
8.2,0,37.512334,126.526217,21.70,4789725241823690752,NORMAL,AUTOMOBILE,1655
8.1,0,37.511786,126.524875,22.41,4789725241848266752,NORMAL,AUTOMOBILE,1655
8.1,0,37.511690,126.524661,22.44,4789725241852362752,NORMAL,AUTOMOBILE,1655
8.1,0,37.511220,126.523523,22.60,4789725241872842752,NORMAL,AUTOMOBILE,1655
8.1,0,37.510837,126.522616,22.53,4789725241889226752,NORMAL,AUTOMOBILE,1655
8.1,0,37.510746,126.522382,22.54,4789725241893322752,NORMAL,AUTOMOBILE,1655
8.1,0,37.510311,126.521276,21.97,4789725241913802752,NORMAL,AUTOMOBILE,1655
8.1,0,37.509818,126.519933,21.43,4789725241938378752,NORMAL,AUTOMOBILE,1655
8.1,0,37.509340,126.518610,22.02,4789725241962954752,NORMAL,AUTOMOBILE,1655
8.1,0,37.509006,126.517712,21.33,4789725241979338752,NORMAL,AUTOMOBILE,1655
8.1,0,37.508574,126.516304,22.67,4789725242003914752,NORMAL,AUTOMOBILE,1655
8.1,0,37.508257,126.515320,23.39,4789725242020298752,NORMAL,AUTOMOBILE,1655
8.1,0,37.508180,126.515065,23.64,4789725242024394752,NORMAL,AUTOMOBILE,1655
8.2,0,37.507770,126.513802,24.45,4789725242044874752,NORMAL,AUTOMOBILE,1655
8.2,0,37.507442,126.512766,24.78,4789725242061258752,NORMAL,STATION,1655
8.2,0,37.507365,126.512505,24.71,4789725242065354752,NORMAL,STATION,1655
17.3,0,37.507037,126.511451,24.88,4789725242081738752,NORMAL,STATION,1655
17.3,0,37.506627,126.510144,24.88,4789725242102218752,NORMAL,STATION,1655
17.3,0,37.506543,126.509894,24.70,4789725242106314752,NORMAL,AUTOMOBILE,1655
17.3,0,37.506136,126.508617,24.35,4789725242126794752,NORMAL,AUTOMOBILE,1655
17.3,0,37.505614,126.507122,24.13,4789725242151370752,NORMAL,AUTOMOBILE,1655
8.1,0,37.505216,126.506152,24.25,4789725242167754752,NORMAL,AUTOMOBILE,1655
8.2,0,37.504613,126.504940,25.06,4789725242188234752,NORMAL,AUTOMOBILE,1655
8.2,0,37.504487,126.504701,25.18,4789725242192330752,NORMAL,AUTOMOBILE,1655
8.2,0,37.503935,126.503771,25.43,4789725242208714752,NORMAL,AUTOMOBILE,1655
8.2,0,37.503336,126.502883,25.67,4789725242225098752,NORMAL,AUTOMOBILE,1655
8.2,0,37.503030,126.502472,25.46,4789725242233290752,NORMAL,AUTOMOBILE,1655
8.1,0,37.502371,126.501673,25.27,4789725242249674752,NORMAL,AUTOMOBILE,1655
8.1,0,37.501672,126.500914,25.72,4789725242266058752,NORMAL,AUTOMOBILE,1655
8.1,0,37.501300,126.500544,26.05,4789725242274250752,NORMAL,AUTOMOBILE,1655
8.1,0,37.500512,126.499840,26.51,4789725242290634752,NORMAL,AUTOMOBILE,1655
8.2,0,37.499703,126.499204,26.58,4789725242307018752,NORMAL,AUTOMOBILE,1655
8.1,0,37.499286,126.498896,26.67,4789725242315210752,NORMAL,AUTOMOBILE,1655
8.1,0,37.498460,126.498278,26.56,4789725242331594752,NORMAL,STATION,1655
8.1,0,37.497843,126.497823,26.39,4789725242343882752,NORMAL,AUTOMOBILE,1655
8.1,0,37.497230,126.497397,25.86,4789725242360266752,NORMAL,STATION,1655
8.1,0,37.496645,126.496976,25.11,4789725242368458752,NORMAL,AUTOMOBILE,1655
8.1,0,37.495886,126.496420,24.15,4789725242384842752,NORMAL,AUTOMOBILE,1655
8.1,0,37.495183,126.495911,22.36,4789725242401226752,NORMAL,AUTOMOBILE,1655
8.1,0,37.495014,126.495779,22.16,4789725242405322752,NORMAL,AUTOMOBILE,1655
8.1,0,37.494165,126.495156,21.99,4789725242425802752,NORMAL,AUTOMOBILE,1655
8.1,0,37.493469,126.494642,22.60,4789725242442186752,NORMAL,AUTOMOBILE,1655
8.1,0,37.493289,126.494512,22.76,4789725242446282752,NORMAL,AUTOMOBILE,1655
8.1,0,37.492385,126.493828,23.36,4789725242466762752,NORMAL,AUTOMOBILE,1655
