accuracy,id,lat,lng,speed,time,type,state,stepCount
73.9,0,37.537744,126.649896,0.00,4789722460385738752,START,AUTOMOBILE,27
57.4,0,37.538319,126.650000,13.03,4789722460393930752,RAPID0,AUTOMOBILE,27
11.8,0,37.539244,126.649894,15.01,4789722460426698752,NORMAL,AUTOMOBILE,27
11.6,0,37.539352,126.649894,12.69,4789722460430794752,NORMAL,AUTOMOBILE,27
8.2,0,37.539455,126.649683,8.17,4789722460471754752,NORMAL,AUTOMOBILE,27
8.2,0,37.538616,126.649666,4.57,4789722460525002752,NORMAL,AUTOMOBILE,27
59.4,0,37.538500,126.647463,0.00,4789722460750282752,STOP,AUTOMOBILE,27
59.4,0,37.538500,126.647463,0.00,4789722462008789045,END,,0
