accuracy,id,lat,lng,speed,time,type,state,stepCount
22.6,0,37.523390,126.662512,12.33,4789730223862218752,START,AUTOMOBILE,649
22.6,0,37.523260,126.662509,13.48,4789730223866314752,NORMAL,AUTOMOBILE,649
24.3,0,37.522048,126.662457,14.27,4789730223907274752,NORMAL,AUTOMOBILE,649
24.3,0,37.521920,126.662449,14.24,4789730223911370752,NORMAL,AUTOMOBILE,649
24.3,0,37.520712,126.662395,14.63,4789730223948234752,NORMAL,AUTOMOBILE,649
24.3,0,37.520581,126.662389,14.54,4789730223952330752,NORMAL,AUTOMOBILE,649
24.3,0,37.519369,126.662319,14.36,4789730223989194752,NORMAL,AUTOMOBILE,649
24.3,0,37.519253,126.662312,13.07,4789730223993290752,NORMAL,AUTOMOBILE,649
61.4,0,37.512307,126.662194,0.00,4789730224550346752,STOP,AUTOMOBILE,649
18.3,0,37.510449,126.661922,16.06,4789730224591306752,NORMAL,AUTOMOBILE,649
20.3,0,37.510307,126.661919,15.15,4789730224595402752,NORMAL,AUTOMOBILE,649
23.3,0,37.509111,126.661850,14.41,4789730224632266752,NORMAL,AUTOMOBILE,649
23.3,0,37.508980,126.661853,14.45,4789730224636362752,NORMAL,AUTOMOBILE,649
23.8,0,37.507745,126.661813,10.37,4789730224681418752,NORMAL,AUTOMOBILE,649
24.3,0,37.506757,126.661777,12.22,4789730224718282752,NORMAL,AUTOMOBILE,649
24.3,0,37.506642,126.661769,12.57,4789730224722378752,NORMAL,AUTOMOBILE,649
24.3,0,37.505334,126.661678,12.53,4789730224771530752,NORMAL,AUTOMOBILE,649
24.3,0,37.504296,126.661628,16.02,4789730224804298752,NORMAL,AUTOMOBILE,649
24.3,0,37.504011,126.661613,15.87,4789730224812490752,NORMAL,AUTOMOBILE,649
24.3,0,37.502714,126.661532,19.58,4789730224845258752,NORMAL,AUTOMOBILE,649
24.3,0,37.502368,126.661500,19.14,4789730224853450752,NORMAL,AUTOMOBILE,649
24.3,0,37.501391,126.661438,17.34,4789730224878026752,NORMAL,AUTOMOBILE,649
24.3,0,37.500804,126.661410,15.73,4789730224894410752,NORMAL,AUTOMOBILE,649
24.3,0,37.499762,126.661368,7.11,4789730224943562752,NORMAL,AUTOMOBILE,649
24.3,0,37.499602,126.661358,2.29,4789730224964042752,NORMAL,AUTOMOBILE,649
24.3,0,37.499602,126.661358,2.29,4789730301202701731,END,,0
