accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
8.2,0,37.540340,126.648730,12.53,1697242829000,START,AUTOMOBILE,0,
1001.5,0,37.540863,126.658369,0.00,1697242962000,STOP,AUTOMOBILE,0,
17.3,0,37.540277,126.659499,2.06,1697242971000,NORMAL,AUTOMOBILE,0,
17.3,0,37.540277,126.659501,0.19,1697242972000,STOP,AUTOMOBILE,0,
24.3,0,37.540349,126.659510,1.17,1697243044000,NORMAL,STATION,0,
24.3,0,37.540348,126.659556,2.91,1697243045000,NORMAL,STATION,0,
24.3,0,37.540346,126.659630,4.61,1697243046000,NORMAL,STATION,0,
24.3,0,37.540344,126.659714,6.09,1697243047000,NORMAL,STATION,0,
24.3,0,37.540341,126.659805,7.42,1697243048000,NORMAL,STATION,0,
24.3,0,37.540271,126.659931,9.06,1697243049000,NORMAL,STATION,0,
24.3,0,37.540276,126.660067,10.34,1697243050000,NORMAL,STATION,0,
24.3,0,37.540288,126.660208,11.52,1697243051000,NORMAL,STATION,0,
24.3,0,37.540288,126.660355,12.38,1697243052000,NORMAL,STATION,0,
24.3,0,37.540288,126.660510,13.15,1697243053000,NORMAL,STATION,0,
24.3,0,37.540288,126.660676,13.92,1697243054000,NORMAL,STATION,0,
24.3,0,37.540288,126.660850,14.49,1697243055000,NORMAL,STATION,0,
24.3,0,37.540288,126.661027,15.16,1697243056000,NORMAL,STATION,0,
24.3,0,37.540289,126.661208,15.57,1697243057000,NORMAL,STATION,0,
24.3,0,37.540289,126.661390,15.86,1697243058000,NORMAL,STATION,0,
24.3,0,37.540289,126.661573,15.94,1697243059000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540289,126.661757,15.85,1697243060000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540290,126.661924,15.22,1697243061000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540290,126.662088,14.75,1697243062000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540290,126.662247,14.11,1697243063000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540290,126.662387,13.20,1697243064000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540290,126.662507,11.98,1697243065000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540291,126.662616,10.60,1697243066000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540291,126.662705,9.16,1697243067000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540291,126.662771,7.41,1697243068000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540291,126.662811,5.42,1697243069000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540291,126.662859,4.92,1697243070000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540291,126.662910,4.68,1697243071000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540287,126.662977,5.46,1697243072000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540284,126.663054,6.39,1697243073000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540282,126.663139,7.16,1697243074000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540279,126.663236,7.91,1697243075000,NORMAL,AUTOMOBILE,0,
24.3,0,37.540277,126.663329,8.36,1697243076000,NORMAL,AUTOMOBILE,0,
