accuracy,id,lat,lng,speed,time,type,state,stepCount
56.5,0,37.539133,126.645784,0.00,1692420274000,START,AUTOMOBILE,323
49.3,0,37.539058,126.645772,5.91,1692420275000,RAPID0,AUTOMOBILE,323
45.1,0,37.539002,126.645667,8.69,1692420276000,NORMAL,AUTOMOBILE,323
45.1,0,37.539019,126.645571,8.69,1692420277000,NORMAL,AUTOMOBILE,323
34.0,0,37.539047,126.645458,8.52,1692420278000,NORMAL,AUTOMOBILE,323
21.9,0,37.539087,126.645329,8.69,1692420279000,NORMAL,AUTOMOBILE,323
21.7,0,37.539086,126.645225,8.71,1692420280000,NORMAL,AUTOMOBILE,323
17.3,0,37.539086,126.645095,9.52,1692420281000,NORMAL,AUTOMOBILE,323
17.6,0,37.539091,126.644988,9.52,1692420282000,NORMAL,AUTOMOBILE,323
16.3,0,37.539103,126.644893,9.22,1692420283000,NORMAL,AUTOMOBILE,323
11.9,0,37.539111,126.644802,9.10,1692420284000,NORMAL,AUTOMOBILE,323
9.6,0,37.539122,126.644712,8.01,1692420285000,NORMAL,AUTOMOBILE,323
9.5,0,37.539117,126.644613,8.49,1692420286000,NORMAL,AUTOMOBILE,323
8.2,0,37.539122,126.644492,9.70,1692420287000,NORMAL,AUTOMOBILE,323
8.2,0,37.539117,126.644383,9.70,1692420288000,NORMAL,AUTOMOBILE,323
8.2,0,37.539119,126.644260,10.50,1692420289000,NORMAL,AUTOMOBILE,323
8.2,0,37.539117,126.644129,10.91,1692420290000,NORMAL,AUTOMOBILE,323
8.2,0,37.539107,126.643975,12.27,1692420291000,NORMAL,AUTOMOBILE,323
8.2,0,37.539112,126.643846,12.27,1692420292000,NORMAL,AUTOMOBILE,323
8.2,0,37.539109,126.643731,11.51,1692420293000,NORMAL,AUTOMOBILE,323
8.2,0,37.539103,126.643630,10.23,1692420294000,NORMAL,AUTOMOBILE,323
8.2,0,37.539099,126.643524,10.02,1692420295000,NORMAL,AUTOMOBILE,323
8.2,0,37.539103,126.643391,11.16,1692420296000,NORMAL,AUTOMOBILE,323
8.2,0,37.539131,126.643255,11.26,1692420297000,NORMAL,AUTOMOBILE,323
8.2,0,37.539133,126.643134,11.27,1692420298000,NORMAL,AUTOMOBILE,323
8.2,0,37.539126,126.643006,11.18,1692420299000,NORMAL,AUTOMOBILE,323
8.2,0,37.539126,126.642887,10.92,1692420300000,NORMAL,AUTOMOBILE,323
8.2,0,37.539128,126.642774,10.23,1692420301000,NORMAL,AUTOMOBILE,323
8.2,0,37.539124,126.642657,10.25,1692420302000,NORMAL,AUTOMOBILE,323
8.2,0,37.539122,126.642536,10.60,1692420303000,NORMAL,AUTOMOBILE,323
8.2,0,37.539123,126.642408,11.03,1692420304000,NORMAL,AUTOMOBILE,323
8.2,0,37.539126,126.642275,11.56,1692420305000,NORMAL,AUTOMOBILE,323
8.2,0,37.539122,126.642133,12.01,1692420306000,NORMAL,AUTOMOBILE,323
8.2,0,37.539122,126.641997,11.82,1692420307000,NORMAL,AUTOMOBILE,323
8.2,0,37.539123,126.641880,10.97,1692420308000,NORMAL,AUTOMOBILE,323
8.2,0,37.539118,126.641756,10.72,1692420309000,NORMAL,AUTOMOBILE,323
8.2,0,37.539118,126.641645,10.24,1692420310000,NORMAL,AUTOMOBILE,323
8.2,0,37.539128,126.641520,10.51,1692420311000,NORMAL,AUTOMOBILE,323
8.2,0,37.539122,126.641422,9.25,1692420312000,NORMAL,AUTOMOBILE,323
8.2,0,37.539115,126.641333,8.34,1692420313000,NORMAL,AUTOMOBILE,323
8.1,0,37.539109,126.641250,7.80,1692420314000,NORMAL,AUTOMOBILE,323
8.1,0,37.539109,126.641178,6.96,1692420315000,NORMAL,AUTOMOBILE,323
8.1,0,37.539107,126.641124,5.70,1692420316000,NORMAL,AUTOMOBILE,323
