accuracy,id,lat,lng,speed,time,type,state,stepCount
22.6,0,37.488112,126.647887,14.34,1691304846000,START,WALK,7
22.6,0,37.488747,126.647460,7.04,1691304856000,NORMAL,WALK,7
24.3,0,37.489893,126.647777,16.30,1691304864000,NORMAL,AUTOMOBILE,7
24.3,0,37.490033,126.647794,15.89,1691304865000,NORMAL,AUTOMOBILE,7
24.3,0,37.490161,126.647804,14.93,1691304866000,NORMAL,AUTOMOBILE,7
24.3,0,37.490278,126.647813,13.77,1691304867000,NORMAL,AUTOMOBILE,7
24.3,0,37.490381,126.647819,12.40,1691304868000,NORMAL,AUTOMOBILE,7
24.3,0,37.490473,126.647822,10.96,1691304869000,NORMAL,AUTOMOBILE,7
24.3,0,37.490542,126.647820,9.47,1691304870000,NORMAL,AUTOMOBILE,7
24.3,0,37.490610,126.647823,8.39,1691304871000,NORMAL,AUTOMOBILE,7
24.3,0,37.490677,126.647826,7.70,1691304872000,NORMAL,AUTOMOBILE,7
24.3,0,37.490737,126.647826,7.16,1691304873000,NORMAL,AUTOMOBILE,7
24.3,0,37.490796,126.647828,6.75,1691304874000,NORMAL,AUTOMOBILE,7
24.3,0,37.490852,126.647829,6.33,1691304875000,NORMAL,AUTOMOBILE,7
24.3,0,37.490902,126.647830,5.78,1691304876000,NORMAL,AUTOMOBILE,7
24.3,0,37.490942,126.647833,4.75,1691304877000,NORMAL,AUTOMOBILE,7
24.3,0,37.490972,126.647836,3.80,1691304878000,NORMAL,AUTOMOBILE,7
24.3,0,37.491005,126.647838,3.64,1691304879000,NORMAL,AUTOMOBILE,7
24.3,0,37.491023,126.647838,2.58,1691304880000,NORMAL,AUTOMOBILE,7
24.3,0,37.491043,126.647839,2.15,1691304881000,NORMAL,AUTOMOBILE,7
24.3,0,37.491060,126.647841,1.95,1691304882000,NORMAL,AUTOMOBILE,7
24.3,0,37.491086,126.647842,2.65,1691304883000,NORMAL,AUTOMOBILE,7
24.3,0,37.491116,126.647844,3.19,1691304884000,NORMAL,AUTOMOBILE,7
24.3,0,37.491157,126.647848,4.22,1691304885000,NORMAL,AUTOMOBILE,7
24.3,0,37.491207,126.647850,5.18,1691304886000,NORMAL,AUTOMOBILE,7
24.3,0,37.491271,126.647851,6.76,1691304887000,NORMAL,AUTOMOBILE,7
24.3,0,37.491349,126.647859,7.77,1691304888000,NORMAL,AUTOMOBILE,7
24.3,0,37.491426,126.647863,8.15,1691304889000,NORMAL,AUTOMOBILE,7
24.3,0,37.491510,126.647868,8.89,1691304890000,NORMAL,AUTOMOBILE,7
24.3,0,37.491598,126.647879,9.41,1691304891000,NORMAL,AUTOMOBILE,7
24.3,0,37.491689,126.647886,9.76,1691304892000,NORMAL,AUTOMOBILE,7
24.3,0,37.491783,126.647892,10.09,1691304893000,NORMAL,AUTOMOBILE,7
24.3,0,37.491884,126.647899,10.98,1691304894000,NORMAL,AUTOMOBILE,7
24.3,0,37.491998,126.647903,11.98,1691304895000,NORMAL,AUTOMOBILE,7
24.3,0,37.492118,126.647912,12.85,1691304896000,NORMAL,AUTOMOBILE,7
24.3,0,37.492241,126.647918,13.56,1691304897000,NORMAL,AUTOMOBILE,7
24.3,0,37.492374,126.647924,13.94,1691304898000,NORMAL,AUTOMOBILE,7
24.3,0,37.492505,126.647930,14.28,1691304899000,NORMAL,AUTOMOBILE,7
24.3,0,37.492639,126.647939,14.61,1691304900000,NORMAL,AUTOMOBILE,7
24.3,0,37.492778,126.647950,15.04,1691304901000,NORMAL,AUTOMOBILE,7
24.3,0,37.492925,126.647956,15.73,1691304902000,NORMAL,AUTOMOBILE,7
24.3,0,37.493066,126.647960,15.45,1691304903000,NORMAL,AUTOMOBILE,7
24.3,0,37.493206,126.647966,15.44,1691304904000,NORMAL,AUTOMOBILE,7
24.3,0,37.493343,126.647966,15.23,1691304905000,NORMAL,AUTOMOBILE,7
24.3,0,37.493479,126.647973,15.09,1691304906000,NORMAL,AUTOMOBILE,7
24.3,0,37.493614,126.647982,15.26,1691304907000,NORMAL,AUTOMOBILE,7
24.3,0,37.493753,126.647986,15.31,1691304908000,NORMAL,AUTOMOBILE,7
24.3,0,37.493890,126.647992,15.33,1691304909000,NORMAL,AUTOMOBILE,7
24.3,0,37.494026,126.648002,15.38,1691304910000,NORMAL,AUTOMOBILE,7
24.3,0,37.494171,126.648010,15.99,1691304911000,NORMAL,AUTOMOBILE,7
24.3,0,37.494320,126.648015,16.37,1691304912000,NORMAL,AUTOMOBILE,7
24.3,0,37.494467,126.648019,16.43,1691304913000,NORMAL,AUTOMOBILE,7
24.3,0,37.494616,126.648027,16.47,1691304914000,NORMAL,AUTOMOBILE,7
24.3,0,37.494769,126.648036,16.96,1691304915000,NORMAL,AUTOMOBILE,7
24.3,0,37.494921,126.648041,16.83,1691304916000,NORMAL,AUTOMOBILE,7
24.3,0,37.495074,126.648046,17.25,1691304917000,NORMAL,AUTOMOBILE,7
24.3,0,37.495239,126.648040,18.20,1691304918000,NORMAL,AUTOMOBILE,7
24.3,0,37.495414,126.648031,19.07,1691304919000,NORMAL,AUTOMOBILE,7
24.3,0,37.495588,126.648031,18.90,1691304920000,NORMAL,AUTOMOBILE,7
24.3,0,37.495759,126.648037,18.75,1691304921000,NORMAL,AUTOMOBILE,7
24.3,0,37.495918,126.648043,18.01,1691304922000,NORMAL,AUTOMOBILE,7
24.3,0,37.496085,126.648050,18.45,1691304923000,NORMAL,AUTOMOBILE,7
24.3,0,37.496254,126.648057,18.57,1691304924000,NORMAL,AUTOMOBILE,7
24.3,0,37.496427,126.648056,18.78,1691304925000,NORMAL,AUTOMOBILE,7
24.3,0,37.496597,126.648072,18.78,1691304926000,NORMAL,AUTOMOBILE,7
24.3,0,37.496768,126.648082,18.85,1691304927000,NORMAL,AUTOMOBILE,7
24.3,0,37.496945,126.648087,19.34,1691304928000,NORMAL,AUTOMOBILE,7
24.3,0,37.497119,126.648095,19.05,1691304929000,NORMAL,AUTOMOBILE,7
24.3,0,37.497288,126.648104,18.84,1691304930000,NORMAL,AUTOMOBILE,7
24.3,0,37.497455,126.648114,18.30,1691304931000,NORMAL,AUTOMOBILE,7
24.3,0,37.497615,126.648121,17.74,1691304932000,NORMAL,AUTOMOBILE,7
24.3,0,37.497772,126.648128,17.47,1691304933000,NORMAL,AUTOMOBILE,7
