accuracy,id,lat,lng,speed,time,type,state,stepCount
8.2,0,37.536124,126.629260,12.22,1693994702000,START,AUTOMOBILE,78
8.2,0,37.536113,126.629147,11.36,1693994703000,NORMAL,AUTOMOBILE,78
8.2,0,37.536112,126.629029,10.78,1693994704000,NORMAL,AUTOMOBILE,78
8.2,0,37.536111,126.628938,9.33,1693994705000,NORMAL,AUTOMOBILE,78
8.2,0,37.536113,126.628828,9.33,1693994706000,NORMAL,AUTOMOBILE,78
8.2,0,37.536127,126.628729,9.12,1693994707000,NORMAL,AUTOMOBILE,78
8.2,0,37.536129,126.628662,8.23,1693994708000,NORMAL,AUTOMOBILE,78
8.2,0,37.536128,126.628603,6.29,1693994709000,NORMAL,AUTOMOBILE,78
8.2,0,37.536130,126.628538,6.29,1693994710000,NORMAL,AUTOMOBILE,78
8.2,0,37.536119,126.628503,4.75,1693994711000,NORMAL,AUTOMOBILE,78
8.2,0,37.536145,126.628480,3.57,1693994712000,NORMAL,AUTOMOBILE,78
8.2,0,37.536152,126.628465,3.39,1693994713000,NORMAL,AUTOMOBILE,78
8.2,0,37.536153,126.628444,2.63,1693994714000,NORMAL,AUTOMOBILE,78
8.2,0,37.536160,126.628399,3.39,1693994715000,NORMAL,AUTOMOBILE,78
8.1,0,37.536156,126.628332,4.46,1693994716000,NORMAL,AUTOMOBILE,78
8.1,0,37.536163,126.628273,5.41,1693994717000,NORMAL,AUTOMOBILE,78
8.1,0,37.536174,126.628201,6.00,1693994718000,NORMAL,AUTOMOBILE,78
8.1,0,37.536182,126.628131,6.16,1693994719000,NORMAL,AUTOMOBILE,78
8.1,0,37.536190,126.628057,6.49,1693994720000,NORMAL,AUTOMOBILE,78
8.1,0,37.536199,126.627971,7.05,1693994721000,NORMAL,AUTOMOBILE,78
8.1,0,37.536189,126.627893,6.97,1693994722000,NORMAL,AUTOMOBILE,78
8.1,0,37.536155,126.627825,6.92,1693994723000,NORMAL,AUTOMOBILE,78
8.1,0,37.536103,126.627754,7.54,1693994724000,NORMAL,AUTOMOBILE,78
8.1,0,37.536040,126.627703,7.58,1693994725000,NORMAL,AUTOMOBILE,78
8.1,0,37.535976,126.627693,6.84,1693994726000,NORMAL,AUTOMOBILE,78
8.1,0,37.535881,126.627701,7.88,1693994727000,NORMAL,AUTOMOBILE,78
8.1,0,37.535804,126.627683,8.35,1693994728000,NORMAL,AUTOMOBILE,78
8.1,0,37.535720,126.627679,8.71,1693994729000,NORMAL,AUTOMOBILE,78
8.1,0,37.535647,126.627675,8.41,1693994730000,NORMAL,AUTOMOBILE,78
8.1,0,37.535576,126.627667,8.12,1693994731000,NORMAL,AUTOMOBILE,78
8.1,0,37.535502,126.627655,8.16,1693994732000,NORMAL,AUTOMOBILE,78
8.1,0,37.535432,126.627655,7.85,1693994733000,NORMAL,AUTOMOBILE,78
8.1,0,37.535378,126.627647,6.40,1693994734000,NORMAL,AUTOMOBILE,78
8.1,0,37.535336,126.627641,5.22,1693994735000,NORMAL,AUTOMOBILE,78
8.1,0,37.535290,126.627648,5.10,1693994736000,NORMAL,AUTOMOBILE,78
8.1,0,37.535241,126.627640,5.33,1693994737000,NORMAL,AUTOMOBILE,78
8.1,0,37.535178,126.627640,6.24,1693994738000,NORMAL,AUTOMOBILE,78
8.1,0,37.535121,126.627638,6.25,1693994739000,NORMAL,AUTOMOBILE,78
8.1,0,37.535061,126.627640,6.67,1693994740000,NORMAL,AUTOMOBILE,78
8.1,0,37.534992,126.627631,7.16,1693994741000,NORMAL,AUTOMOBILE,78
8.1,0,37.534923,126.627625,7.54,1693994742000,NORMAL,AUTOMOBILE,78
8.1,0,37.534845,126.627617,8.20,1693994743000,NORMAL,AUTOMOBILE,78
8.1,0,37.534768,126.627611,8.43,1693994744000,NORMAL,AUTOMOBILE,78
8.1,0,37.534690,126.627608,8.54,1693994745000,NORMAL,AUTOMOBILE,78
8.1,0,37.534624,126.627602,7.68,1693994746000,NORMAL,AUTOMOBILE,78
8.1,0,37.534569,126.627603,6.42,1693994747000,NORMAL,AUTOMOBILE,78
8.1,0,37.534530,126.627600,5.04,1693994748000,NORMAL,AUTOMOBILE,78
8.1,0,37.534496,126.627594,4.05,1693994749000,NORMAL,AUTOMOBILE,78
8.1,0,37.534466,126.627589,3.67,1693994750000,NORMAL,AUTOMOBILE,78
8.1,0,37.534439,126.627587,3.39,1693994751000,NORMAL,AUTOMOBILE,78
8.1,0,37.534405,126.627587,3.65,1693994752000,NORMAL,AUTOMOBILE,78
8.1,0,37.534367,126.627585,4.00,1693994753000,NORMAL,AUTOMOBILE,78
8.1,0,37.534322,126.627581,4.41,1693994754000,NORMAL,AUTOMOBILE,78
8.1,0,37.534274,126.627584,4.92,1693994755000,NORMAL,AUTOMOBILE,78
8.1,0,37.534232,126.627597,4.66,1693994756000,NORMAL,AUTOMOBILE,78
8.1,0,37.534193,126.627629,4.79,1693994757000,NORMAL,AUTOMOBILE,78
8.1,0,37.534163,126.627674,4.97,1693994758000,NORMAL,AUTOMOBILE,78
8.1,0,37.534149,126.627731,4.97,1693994759000,NORMAL,AUTOMOBILE,78
8.1,0,37.534148,126.627794,5.22,1693994760000,NORMAL,AUTOMOBILE,78
8.1,0,37.534146,126.627875,6.23,1693994761000,NORMAL,AUTOMOBILE,78
8.1,0,37.534144,126.627940,6.13,1693994762000,NORMAL,AUTOMOBILE,78
8.1,0,37.534144,126.628004,5.99,1693994763000,NORMAL,AUTOMOBILE,78
8.1,0,37.534141,126.628082,6.55,1693994764000,NORMAL,AUTOMOBILE,78
8.1,0,37.534142,126.628143,5.87,1693994765000,NORMAL,AUTOMOBILE,78
8.1,0,37.534143,126.628192,4.87,1693994766000,NORMAL,AUTOMOBILE,78
8.1,0,37.534136,126.628214,3.15,1693994767000,NORMAL,AUTOMOBILE,78
8.1,0,37.534132,126.628232,2.11,1693994768000,NORMAL,AUTOMOBILE,78
8.1,0,37.534100,126.628241,2.13,1693994769000,NORMAL,AUTOMOBILE,78
8.1,0,37.534069,126.628279,3.20,1693994770000,NORMAL,AUTOMOBILE,78
8.1,0,37.533997,126.628268,4.77,1693994771000,NORMAL,AUTOMOBILE,78
8.1,0,37.533954,126.628253,4.80,1693994772000,NORMAL,AUTOMOBILE,78
8.1,0,37.533924,126.628257,4.28,1693994773000,NORMAL,AUTOMOBILE,78
8.1,0,37.533892,126.628270,3.95,1693994774000,NORMAL,AUTOMOBILE,78
8.1,0,37.533852,126.628277,3.96,1693994775000,NORMAL,AUTOMOBILE,78
8.1,0,37.533825,126.628277,3.14,1693994776000,NORMAL,AUTOMOBILE,78
8.1,0,37.533791,126.628284,3.25,1693994777000,NORMAL,AUTOMOBILE,78
8.1,0,37.533752,126.628274,3.25,1693994778000,NORMAL,AUTOMOBILE,78
8.1,0,37.533721,126.628269,3.15,1693994779000,NORMAL,AUTOMOBILE,78
10.9,0,37.533656,126.628243,3.28,1693994780000,NORMAL,AUTOMOBILE,78
8.1,0,37.533643,126.628252,2.19,1693994781000,NORMAL,AUTOMOBILE,78
11.5,0,37.533630,126.628259,1.59,1693994782000,NORMAL,AUTOMOBILE,78
17.0,0,37.533551,126.628332,2.44,1693994783000,NORMAL,AUTOMOBILE,78
