accuracy,id,lat,lng,speed,time,type,state,stepCount
14.3,0,37.529151,126.644610,7.39,1694169388000,START,AUTOMOBILE,256
14.2,0,37.529088,126.644610,7.39,1694169389000,NORMAL,AUTOMOBILE,256
14.5,0,37.529025,126.644651,6.55,1694169390000,NORMAL,AUTOMOBILE,256
14.7,0,37.528956,126.644636,6.50,1694169391000,NORMAL,AUTOMOBILE,256
14.7,0,37.528897,126.644632,6.50,1694169392000,NORMAL,AUTOMOBILE,256
14.8,0,37.528833,126.644612,6.37,1694169393000,NORMAL,AUTOMOBILE,256
14.2,0,37.528780,126.644612,6.66,1694169394000,NORMAL,AUTOMOBILE,256
13.8,0,37.528731,126.644625,6.66,1694169395000,NORMAL,AUTOMOBILE,256
13.4,0,37.528690,126.644613,6.02,1694169396000,NORMAL,AUTOMOBILE,256
13.3,0,37.528629,126.644628,6.02,1694169397000,NORMAL,AUTOMOBILE,256
13.4,0,37.528585,126.644621,6.02,1694169398000,NORMAL,AUTOMOBILE,256
14.3,0,37.528552,126.644633,4.83,1694169399000,NORMAL,AUTOMOBILE,256
14.7,0,37.528525,126.644614,4.83,1694169400000,NORMAL,AUTOMOBILE,256
14.9,0,37.528491,126.644612,3.96,1694169401000,NORMAL,AUTOMOBILE,256
15.3,0,37.528474,126.644596,3.71,1694169402000,NORMAL,AUTOMOBILE,256
11.8,0,37.528512,126.644535,3.90,1694169403000,NORMAL,AUTOMOBILE,256
11.4,0,37.528481,126.644485,3.16,1694169404000,NORMAL,AUTOMOBILE,256
11.7,0,37.528468,126.644456,3.20,1694169405000,NORMAL,AUTOMOBILE,256
11.1,0,37.528467,126.644422,3.16,1694169406000,NORMAL,AUTOMOBILE,256
10.7,0,37.528497,126.644409,2.46,1694169407000,NORMAL,AUTOMOBILE,256
10.5,0,37.528479,126.644394,0.91,1694169408000,STOP,AUTOMOBILE,256
13.3,0,37.528474,126.644276,1.67,1694169412000,NORMAL,AUTOMOBILE,256
13.9,0,37.528485,126.644263,1.74,1694169413000,NORMAL,AUTOMOBILE,256
13.7,0,37.528511,126.644254,2.24,1694169414000,NORMAL,AUTOMOBILE,256
13.6,0,37.528519,126.644251,2.55,1694169415000,NORMAL,AUTOMOBILE,256
13.0,0,37.528519,126.644233,1.92,1694169416000,NORMAL,AUTOMOBILE,256
12.5,0,37.528528,126.644312,1.54,1694169417000,NORMAL,AUTOMOBILE,256
11.8,0,37.528631,126.644334,2.30,1694169418000,NORMAL,AUTOMOBILE,256
11.7,0,37.528659,126.644338,2.94,1694169419000,NORMAL,AUTOMOBILE,256
11.7,0,37.528697,126.644346,3.50,1694169420000,NORMAL,AUTOMOBILE,256
11.2,0,37.528724,126.644357,3.36,1694169421000,NORMAL,AUTOMOBILE,256
10.9,0,37.528732,126.644342,2.82,1694169422000,NORMAL,AUTOMOBILE,256
10.6,0,37.528764,126.644339,2.89,1694169423000,NORMAL,AUTOMOBILE,256
10.0,0,37.528787,126.644333,2.57,1694169424000,NORMAL,AUTOMOBILE,256
9.6,0,37.528794,126.644333,1.82,1694169425000,NORMAL,AUTOMOBILE,256
9.3,0,37.528803,126.644345,1.27,1694169426000,NORMAL,AUTOMOBILE,256
9.2,0,37.528817,126.644344,1.27,1694169427000,NORMAL,AUTOMOBILE,256
9.1,0,37.528826,126.644351,1.20,1694169428000,NORMAL,AUTOMOBILE,256
9.0,0,37.528839,126.644353,1.16,1694169429000,NORMAL,AUTOMOBILE,256
9.0,0,37.528845,126.644350,0.76,1694169430000,STOP,AUTOMOBILE,256
13.4,0,37.528932,126.644323,1.01,1694169457000,NORMAL,AUTOMOBILE,256
13.8,0,37.528944,126.644325,0.84,1694169458000,STOP,AUTOMOBILE,256
8.2,0,37.528912,126.644368,1.06,1694169485000,NORMAL,AUTOMOBILE,8
8.1,0,37.528928,126.644372,0.51,1694169486000,STOP,AUTOMOBILE,8
8.1,0,37.528920,126.644356,1.45,1694169492000,NORMAL,AUTOMOBILE,8
8.1,0,37.528918,126.644356,1.79,1694169493000,NORMAL,AUTOMOBILE,8
8.1,0,37.528917,126.644441,1.30,1694169494000,NORMAL,AUTOMOBILE,8
8.1,0,37.528909,126.644440,1.11,1694169495000,NORMAL,WALK,8
37.5,0,37.528845,126.644557,0.00,1694169566000,STOP,WALK,21
37.5,0,37.528845,126.644557,0.00,1694172865121,END,,0
