accuracy,id,lat,lng,speed,time,type,state,stepCount
66.0,0,37.535617,126.644521,0.00,1694776805000,START,AUTOMOBILE,41
9.5,0,37.536462,126.644592,9.01,1694776817000,NORMAL,AUTOMOBILE,41
7.5,0,37.536550,126.644641,9.01,1694776818000,NORMAL,AUTOMOBILE,41
8.2,0,37.536631,126.644640,9.01,1694776819000,NORMAL,AUTOMOBILE,41
8.2,0,37.536718,126.644639,9.36,1694776820000,NORMAL,AUTOMOBILE,41
6.5,0,37.536804,126.644639,9.44,1694776821000,NORMAL,AUTOMOBILE,41
8.2,0,37.536889,126.644638,9.44,1694776822000,NORMAL,AUTOMOBILE,41
8.2,0,37.536967,126.644637,8.94,1694776823000,NORMAL,AUTOMOBILE,41
8.2,0,37.537046,126.644636,8.94,1694776824000,NORMAL,AUTOMOBILE,41
8.2,0,37.537131,126.644636,9.51,1694776825000,NORMAL,AUTOMOBILE,41
8.2,0,37.537212,126.644632,9.51,1694776826000,NORMAL,AUTOMOBILE,41
8.2,0,37.537284,126.644629,8.92,1694776827000,NORMAL,AUTOMOBILE,41
6.5,0,37.537342,126.644627,7.53,1694776828000,NORMAL,AUTOMOBILE,41
6.5,0,37.537410,126.644625,7.53,1694776829000,NORMAL,AUTOMOBILE,41
6.5,0,37.537469,126.644623,7.08,1694776830000,NORMAL,AUTOMOBILE,41
8.2,0,37.537532,126.644621,7.08,1694776831000,NORMAL,AUTOMOBILE,41
8.2,0,37.537573,126.644619,5.98,1694776832000,NORMAL,AUTOMOBILE,41
8.2,0,37.537601,126.644619,4.43,1694776833000,NORMAL,AUTOMOBILE,41
8.2,0,37.537640,126.644617,4.43,1694776834000,NORMAL,AUTOMOBILE,41
8.2,0,37.537663,126.644616,3.65,1694776835000,NORMAL,AUTOMOBILE,41
8.2,0,37.537692,126.644615,3.23,1694776836000,NORMAL,AUTOMOBILE,41
8.2,0,37.537733,126.644614,3.76,1694776837000,NORMAL,AUTOMOBILE,41
8.2,0,37.537763,126.644613,3.76,1694776838000,NORMAL,AUTOMOBILE,41
8.2,0,37.537825,126.644611,4.02,1694776839000,NORMAL,AUTOMOBILE,41
8.2,0,37.537874,126.644622,5.10,1694776840000,NORMAL,AUTOMOBILE,41
8.2,0,37.537934,126.644625,5.85,1694776841000,NORMAL,AUTOMOBILE,41
8.2,0,37.537992,126.644635,6.25,1694776842000,NORMAL,AUTOMOBILE,41
8.2,0,37.538052,126.644641,6.43,1694776843000,NORMAL,AUTOMOBILE,41
8.2,0,37.538109,126.644645,6.49,1694776844000,NORMAL,AUTOMOBILE,41
8.2,0,37.538173,126.644645,6.80,1694776845000,NORMAL,AUTOMOBILE,41
8.2,0,37.538232,126.644647,6.74,1694776846000,NORMAL,AUTOMOBILE,41
8.2,0,37.538285,126.644646,6.27,1694776847000,NORMAL,AUTOMOBILE,41
8.2,0,37.538346,126.644647,6.35,1694776848000,NORMAL,AUTOMOBILE,41
8.2,0,37.538408,126.644646,6.59,1694776849000,NORMAL,AUTOMOBILE,41
8.2,0,37.538482,126.644646,7.52,1694776850000,NORMAL,AUTOMOBILE,41
8.2,0,37.538537,126.644649,6.98,1694776851000,NORMAL,AUTOMOBILE,41
8.2,0,37.538594,126.644649,6.57,1694776852000,NORMAL,AUTOMOBILE,41
8.2,0,37.538660,126.644648,7.10,1694776853000,NORMAL,AUTOMOBILE,41
8.2,0,37.538713,126.644648,6.59,1694776854000,NORMAL,AUTOMOBILE,41
8.2,0,37.538755,126.644649,5.45,1694776855000,NORMAL,AUTOMOBILE,41
8.2,0,37.538808,126.644650,5.61,1694776856000,NORMAL,AUTOMOBILE,41
8.2,0,37.538842,126.644648,4.57,1694776857000,NORMAL,AUTOMOBILE,41
8.2,0,37.538861,126.644647,2.90,1694776858000,NORMAL,AUTOMOBILE,41
8.2,0,37.538894,126.644648,2.86,1694776859000,NORMAL,AUTOMOBILE,41
8.2,0,37.538934,126.644645,3.52,1694776860000,NORMAL,AUTOMOBILE,41
8.2,0,37.538966,126.644643,3.69,1694776861000,NORMAL,AUTOMOBILE,41
8.2,0,37.538991,126.644642,3.30,1694776862000,NORMAL,AUTOMOBILE,41
8.2,0,37.539032,126.644651,4.16,1694776863000,NORMAL,AUTOMOBILE,41
8.2,0,37.539069,126.644679,4.90,1694776864000,NORMAL,AUTOMOBILE,41
