accuracy,id,lat,lng,speed,time,type,state,stepCount
8.2,0,37.594714,126.687115,16.42,4789722751730122752,START,AUTOMOBILE,8
8.2,0,37.594708,126.686920,16.42,4789722751734218752,NORMAL,AUTOMOBILE,8
8.1,0,37.594648,126.685646,15.71,4789722751762890752,NORMAL,AUTOMOBILE,9
8.1,0,37.594581,126.685117,15.91,4789722751775178752,NORMAL,AUTOMOBILE,9
8.1,0,37.594420,126.683921,14.15,4789722751803850752,NORMAL,AUTOMOBILE,3
8.1,0,37.594347,126.683504,12.88,4789722751816138752,NORMAL,AUTOMOBILE,3
96.8,0,37.592828,126.680465,0.00,4789722752414154752,STOP,AUTOMOBILE,16
6.5,0,37.592453,126.682052,8.56,4789722752459210752,NORMAL,AUTOMOBILE,16
8.2,0,37.591384,126.682205,10.96,4789722752508362752,NORMAL,AUTOMOBILE,16
8.2,0,37.590580,126.682389,9.72,4789722752545226752,NORMAL,AUTOMOBILE,16
8.2,0,37.590494,126.682434,9.95,4789722752549322752,NORMAL,AUTOMOBILE,16
8.1,0,37.589546,126.682592,8.41,4789722752598474752,NORMAL,AUTOMOBILE,16
8.1,0,37.588537,126.682829,6.59,4789722752659914752,NORMAL,AUTOMOBILE,16
8.1,0,37.588056,126.681896,13.55,4789722752704970752,NORMAL,AUTOMOBILE,16
8.1,0,37.587638,126.680750,14.13,4789722752737738752,NORMAL,AUTOMOBILE,16
8.1,0,37.587528,126.680437,14.84,4789722752745930752,NORMAL,AUTOMOBILE,16
8.1,0,37.587194,126.679455,15.98,4789722752770506752,NORMAL,AUTOMOBILE,16
8.1,0,37.586969,126.678805,15.13,4789722752786890752,NORMAL,AUTOMOBILE,16
8.1,0,37.586569,126.677662,13.80,4789722752819658752,NORMAL,AUTOMOBILE,16
8.1,0,37.586465,126.677367,14.21,4789722752827850752,NORMAL,AUTOMOBILE,16
8.1,0,37.586057,126.676197,13.57,4789722752860618752,NORMAL,AUTOMOBILE,16
8.1,0,37.585953,126.675898,14.18,4789722752872906752,NORMAL,AUTOMOBILE,16
8.1,0,37.585538,126.674721,14.65,4789722752901578752,NORMAL,AUTOMOBILE,4
8.1,0,37.585485,126.674564,14.90,4789722752905674752,NORMAL,AUTOMOBILE,4
8.1,0,37.585378,126.674262,14.49,4789722752913866752,NORMAL,AUTOMOBILE,4
8.1,0,37.585004,126.673191,15.51,4789722752942538752,NORMAL,AUTOMOBILE,4
8.1,0,37.584825,126.672692,16.30,4789722752954826752,NORMAL,AUTOMOBILE,4
8.1,0,37.584285,126.671550,16.47,4789722752983498752,NORMAL,AUTOMOBILE,4
8.1,0,37.584049,126.671072,16.40,4789722752995786752,NORMAL,AUTOMOBILE,4
8.1,0,37.583859,126.669947,14.38,4789722753024458752,NORMAL,AUTOMOBILE,4
8.1,0,37.583878,126.669451,14.61,4789722753036746752,NORMAL,AUTOMOBILE,4
