accuracy,id,lat,lng,speed,time,type,state,stepCount
41.9,0,36.665012,127.493265,0.00,4789742600024522752,START,AUTOMOBILE,202
37.9,0,36.664937,127.494192,12.40,4789742600049098752,NORMAL,AUTOMOBILE,202
38.7,0,36.664785,127.494468,11.30,4789742600065482752,NORMAL,AUTOMOBILE,202
86.4,0,36.663722,127.500957,0.00,4789742600282570752,STOP,AUTOMOBILE,202
16.9,0,36.663586,127.501988,12.01,4789742600675786752,NORMAL,AUTOMOBILE,202
1009.5,0,36.662684,127.505917,0.00,4789742604145098752,STOP,STATION,202
1009.5,0,36.662684,127.505917,0.00,4789742658895092535,END,,0
