accuracy,id,lat,lng,speed,time,type,state,stepCount
74.9,0,37.535386,126.649749,0.00,4789734362145226752,START,AUTOMOBILE,8
62.3,0,37.536167,126.649880,0.00,4789734362276298752,STOP,AUTOMOBILE,8
16.9,0,37.536637,126.649839,11.12,4789734362288586752,NORMAL,AUTOMOBILE,8
13.0,0,37.537830,126.649903,11.70,4789734362333642752,NORMAL,AUTOMOBILE,8
9.5,0,37.538715,126.649942,12.83,4789734362366410752,NORMAL,AUTOMOBILE,8
9.5,0,37.538942,126.649919,12.58,4789734362374602752,NORMAL,AUTOMOBILE,8
9.5,0,37.538942,126.649919,12.58,4789734364160886960,END,,0
