accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
8.2,0,37.539141,126.644907,10.36,1697866188000,START,AUTOMOBILE,0,
8.2,0,37.539128,126.643695,11.06,1697866199000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539126,126.643605,9.17,1697866200000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539121,126.643500,9.17,1697866201000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539124,126.643401,9.12,1697866202000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539108,126.643282,8.89,1697866203000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539105,126.643181,8.94,1697866204000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539106,126.643070,9.32,1697866205000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539104,126.642957,9.68,1697866206000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539101,126.642849,9.70,1697866207000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539095,126.642731,10.08,1697866208000,NORMAL,STATION,0,
8.2,0,37.539100,126.642609,10.33,1697866209000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539104,126.642486,10.68,1697866210000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539105,126.642366,10.96,1697866211000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539109,126.642239,10.73,1697866212000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539108,126.642114,10.96,1697866213000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539105,126.641991,11.03,1697866214000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539102,126.641884,10.13,1697866215000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539104,126.641778,9.57,1697866216000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539107,126.641675,9.22,1697866217000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539108,126.641569,9.21,1697866218000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539106,126.641481,8.42,1697866219000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539099,126.641408,7.39,1697866220000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539095,126.641341,6.59,1697866221000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539099,126.641280,5.95,1697866222000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539098,126.641238,4.74,1697866223000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539101,126.641210,3.47,1697866224000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539106,126.641188,2.32,1697866225000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539101,126.641182,1.19,1697866226000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539103,126.641187,0.15,1697866227000,STOP,AUTOMOBILE,0,
8.2,0,37.539093,126.641140,2.49,1697866257000,NORMAL,STATION,0,
8.2,0,37.539096,126.641083,3.71,1697866258000,NORMAL,STATION,0,
8.2,0,37.539098,126.641024,4.41,1697866259000,NORMAL,STATION,0,
8.2,0,37.539097,126.640969,4.66,1697866260000,NORMAL,STATION,0,
8.2,0,37.539101,126.640903,5.26,1697866261000,NORMAL,STATION,0,
8.2,0,37.539100,126.640831,5.76,1697866262000,NORMAL,STATION,0,
8.2,0,37.539095,126.640763,5.80,1697866263000,NORMAL,STATION,0,
8.2,0,37.539083,126.640699,5.75,1697866264000,NORMAL,STATION,0,
8.2,0,37.539079,126.640638,5.88,1697866265000,NORMAL,STATION,0,
13.0,0,37.539079,126.640590,6.19,1697866266000,NORMAL,STATION,0,
8.2,0,37.538936,126.640560,6.67,1697866267000,NORMAL,STATION,0,
8.2,0,37.538864,126.640541,7.27,1697866268000,NORMAL,STATION,0,
8.2,0,37.538779,126.640540,8.26,1697866269000,NORMAL,STATION,0,
8.2,0,37.538682,126.640545,9.48,1697866270000,NORMAL,STATION,0,
8.2,0,37.538574,126.640543,10.60,1697866271000,NORMAL,STATION,0,
8.2,0,37.538462,126.640541,11.37,1697866272000,NORMAL,STATION,0,
8.2,0,37.538341,126.640534,12.38,1697866273000,NORMAL,STATION,0,
8.2,0,37.538217,126.640534,13.10,1697866274000,NORMAL,STATION,0,
8.2,0,37.538094,126.640534,13.45,1697866275000,NORMAL,STATION,0,
8.2,0,37.537984,126.640538,12.86,1697866276000,NORMAL,STATION,0,
8.2,0,37.537885,126.640539,11.77,1697866277000,NORMAL,STATION,0,
8.2,0,37.537800,126.640534,10.40,1697866278000,NORMAL,STATION,0,
8.2,0,37.537718,126.640536,9.57,1697866279000,NORMAL,STATION,0,
8.2,0,37.537645,126.640534,8.74,1697866280000,NORMAL,STATION,0,
8.2,0,37.537579,126.640534,7.98,1697866281000,NORMAL,STATION,0,
8.2,0,37.537528,126.640534,6.72,1697866282000,NORMAL,STATION,0,
8.2,0,37.537493,126.640536,5.36,1697866283000,NORMAL,STATION,0,
8.2,0,37.537468,126.640535,4.02,1697866284000,NORMAL,STATION,0,
8.2,0,37.537453,126.640533,2.74,1697866285000,NORMAL,STATION,0,
8.2,0,37.537449,126.640535,1.50,1697866286000,NORMAL,STATION,0,
8.2,0,37.537455,126.640534,0.40,1697866287000,STOP,STATION,0,
8.2,0,37.537409,126.640519,1.99,1697866325000,NORMAL,STATION,0,
8.2,0,37.537354,126.640527,4.11,1697866326000,NORMAL,STATION,0,
8.2,0,37.537289,126.640534,5.68,1697866327000,NORMAL,STATION,0,
8.2,0,37.537197,126.640533,7.94,1697866328000,NORMAL,STATION,0,
8.2,0,37.537091,126.640522,10.05,1697866329000,NORMAL,STATION,0,
8.2,0,37.536980,126.640515,11.25,1697866330000,NORMAL,STATION,0,
8.2,0,37.536877,126.640513,11.39,1697866331000,NORMAL,STATION,0,
8.2,0,37.536785,126.640514,10.76,1697866332000,NORMAL,STATION,0,
8.2,0,37.536702,126.640518,9.78,1697866333000,NORMAL,STATION,0,
8.2,0,37.536625,126.640519,8.97,1697866334000,NORMAL,STATION,0,
8.2,0,37.536569,126.640526,7.59,1697866335000,NORMAL,STATION,0,
8.2,0,37.536494,126.640525,8.02,1697866336000,NORMAL,STATION,0,
8.2,0,37.536407,126.640519,8.85,1697866337000,NORMAL,STATION,0,
8.2,0,37.536310,126.640522,9.71,1697866338000,NORMAL,STATION,0,
8.2,0,37.536208,126.640517,10.56,1697866339000,NORMAL,STATION,0,
8.2,0,37.536108,126.640515,10.91,1697866340000,NORMAL,STATION,0,
8.2,0,37.536005,126.640531,11.16,1697866341000,NORMAL,STATION,0,
8.2,0,37.535903,126.640529,11.24,1697866342000,NORMAL,STATION,0,
8.2,0,37.535795,126.640522,11.62,1697866343000,NORMAL,STATION,0,
8.2,0,37.535682,126.640528,12.17,1697866344000,NORMAL,STATION,0,
8.2,0,37.535557,126.640522,12.99,1697866345000,NORMAL,STATION,0,
8.2,0,37.535434,126.640526,13.34,1697866346000,NORMAL,STATION,0,
8.2,0,37.535306,126.640523,13.67,1697866347000,NORMAL,STATION,0,
8.2,0,37.535182,126.640514,13.54,1697866348000,NORMAL,STATION,0,
8.2,0,37.535074,126.640514,12.37,1697866349000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534965,126.640513,12.21,1697866350000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534857,126.640512,12.04,1697866351000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534747,126.640509,11.97,1697866352000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534634,126.640507,12.26,1697866353000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534528,126.640508,11.96,1697866354000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534417,126.640518,12.02,1697866355000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534303,126.640529,12.42,1697866356000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534183,126.640538,12.69,1697866357000,NORMAL,AUTOMOBILE,0,
8.2,0,37.534065,126.640546,12.64,1697866358000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533959,126.640533,11.71,1697866359000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533850,126.640524,11.88,1697866360000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533733,126.640517,12.41,1697866361000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533612,126.640513,12.42,1697866362000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533499,126.640516,12.42,1697866363000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533383,126.640507,12.27,1697866364000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533270,126.640495,12.24,1697866365000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533154,126.640495,12.24,1697866366000,NORMAL,AUTOMOBILE,0,
8.2,0,37.533043,126.640494,12.17,1697866367000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532930,126.640500,12.16,1697866368000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532820,126.640506,11.76,1697866369000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532726,126.640512,10.74,1697866370000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532649,126.640513,9.45,1697866371000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532565,126.640509,9.33,1697866372000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532485,126.640501,8.93,1697866373000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532412,126.640494,8.25,1697866374000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532353,126.640492,7.26,1697866375000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532300,126.640485,6.28,1697866376000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532258,126.640499,5.25,1697866377000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532225,126.640498,4.24,1697866378000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532205,126.640497,2.99,1697866379000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532197,126.640497,1.82,1697866380000,NORMAL,AUTOMOBILE,0,
8.2,0,37.532196,126.640497,0.76,1697866381000,STOP,AUTOMOBILE,0,
8.2,0,37.532107,126.640434,1.82,1697866421000,NORMAL,STATION,0,
8.2,0,37.532067,126.640438,3.18,1697866422000,NORMAL,STATION,0,
8.2,0,37.532006,126.640434,4.90,1697866423000,NORMAL,STATION,0,
8.2,0,37.531945,126.640436,5.72,1697866424000,NORMAL,STATION,0,
8.2,0,37.531880,126.640437,6.47,1697866425000,NORMAL,STATION,0,
8.2,0,37.531812,126.640489,7.05,1697866426000,NORMAL,STATION,0,
8.2,0,37.531734,126.640487,7.79,1697866427000,NORMAL,STATION,0,
8.2,0,37.531648,126.640485,8.79,1697866428000,NORMAL,STATION,0,
8.2,0,37.531562,126.640483,9.39,1697866429000,NORMAL,STATION,0,
8.2,0,37.531476,126.640481,9.65,1697866430000,NORMAL,STATION,0,
8.2,0,37.531383,126.640482,9.97,1697866431000,NORMAL,STATION,0,
8.2,0,37.531298,126.640483,10.03,1697866432000,NORMAL,STATION,0,
8.2,0,37.531212,126.640483,9.87,1697866433000,NORMAL,STATION,0,
8.2,0,37.531130,126.640484,9.83,1697866434000,NORMAL,STATION,0,
8.2,0,37.531039,126.640482,10.00,1697866435000,NORMAL,STATION,0,
8.2,0,37.530968,126.640481,9.30,1697866436000,NORMAL,STATION,0,
8.2,0,37.530903,126.640461,8.41,1697866437000,NORMAL,STATION,0,
8.2,0,37.530835,126.640461,8.03,1697866438000,NORMAL,STATION,0,
8.2,0,37.530767,126.640471,7.80,1697866439000,NORMAL,STATION,0,
8.2,0,37.530706,126.640482,7.42,1697866440000,NORMAL,STATION,0,
8.2,0,37.530643,126.640491,7.25,1697866441000,NORMAL,STATION,0,
8.2,0,37.530590,126.640492,6.76,1697866442000,NORMAL,STATION,0,
8.2,0,37.530545,126.640498,6.00,1697866443000,NORMAL,STATION,0,
8.2,0,37.530505,126.640499,5.28,1697866444000,NORMAL,STATION,0,
8.2,0,37.530477,126.640502,4.49,1697866445000,NORMAL,STATION,0,
8.2,0,37.530449,126.640504,3.81,1697866446000,NORMAL,STATION,0,
8.2,0,37.530435,126.640492,2.93,1697866447000,NORMAL,STATION,0,
8.2,0,37.530435,126.640507,1.84,1697866448000,NORMAL,STATION,0,
8.2,0,37.530439,126.640519,0.93,1697866449000,STOP,STATION,0,
8.2,0,37.530375,126.640569,3.68,1697866468000,NORMAL,STATION,0,
8.2,0,37.530336,126.640580,3.82,1697866469000,NORMAL,STATION,0,
8.2,0,37.530320,126.640627,3.45,1697866470000,NORMAL,STATION,0,
8.2,0,37.530333,126.640687,3.74,1697866471000,NORMAL,STATION,0,
8.2,0,37.530377,126.640722,3.93,1697866472000,NORMAL,STATION,0,
8.2,0,37.530424,126.640732,4.19,1697866473000,NORMAL,STATION,0,
8.2,0,37.530507,126.640717,6.17,1697866474000,NORMAL,STATION,0,
8.2,0,37.530618,126.640693,8.63,1697866475000,NORMAL,STATION,0,
8.2,0,37.530722,126.640681,9.54,1697866476000,NORMAL,STATION,0,
