accuracy,id,lat,lng,speed,time,type,state,stepCount
81.0,0,37.534436,126.649980,0.00,1691290289000,START,AUTOMOBILE,374
22.1,0,37.534393,126.648883,5.20,1691290300000,NORMAL,AUTOMOBILE,374
17.4,0,37.534380,126.648851,3.23,1691290301000,NORMAL,AUTOMOBILE,374
17.2,0,37.534375,126.648804,3.45,1691290302000,NORMAL,AUTOMOBILE,374
16.8,0,37.534378,126.648766,3.23,1691290303000,NORMAL,AUTOMOBILE,374
12.9,0,37.534378,126.648748,2.35,1691290304000,NORMAL,AUTOMOBILE,374
12.9,0,37.534379,126.648722,2.35,1691290305000,NORMAL,AUTOMOBILE,374
12.9,0,37.534385,126.648710,0.98,1691290306000,STOP,AUTOMOBILE,374
13.3,0,37.534392,126.648652,1.78,1691290310000,NORMAL,AUTOMOBILE,374
13.5,0,37.534395,126.648611,2.95,1691290311000,NORMAL,AUTOMOBILE,374
13.5,0,37.534394,126.648588,2.42,1691290312000,NORMAL,AUTOMOBILE,374
13.5,0,37.534398,126.648555,2.79,1691290313000,NORMAL,AUTOMOBILE,374
13.6,0,37.534412,126.648516,3.44,1691290314000,NORMAL,AUTOMOBILE,374
13.7,0,37.534446,126.648479,4.31,1691290315000,NORMAL,AUTOMOBILE,374
15.1,0,37.534524,126.648476,4.25,1691290317000,NORMAL,AUTOMOBILE,374
21.0,0,37.534561,126.648501,4.18,1691290318000,NORMAL,AUTOMOBILE,374
23.6,0,37.534603,126.648546,4.95,1691290319000,NORMAL,AUTOMOBILE,374
24.9,0,37.534685,126.648587,4.95,1691290320000,NORMAL,AUTOMOBILE,374
23.4,0,37.534691,126.648613,4.95,1691290321000,NORMAL,AUTOMOBILE,374
22.4,0,37.534681,126.648590,1.12,1691290322000,NORMAL,AUTOMOBILE,374
21.3,0,37.534714,126.648593,2.57,1691290323000,NORMAL,AUTOMOBILE,374
20.6,0,37.534708,126.648604,1.12,1691290324000,NORMAL,AUTOMOBILE,374
8.3,0,37.534761,126.648528,1.40,1691290325000,NORMAL,AUTOMOBILE,374
8.2,0,37.534765,126.648541,1.15,1691290326000,NORMAL,AUTOMOBILE,374
8.2,0,37.534780,126.648549,1.20,1691290327000,NORMAL,AUTOMOBILE,374
