accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
8.2,0,37.537273,126.649928,9.70,1697802518000,START,AUTOMOBILE,0,
8.2,0,37.538058,126.649955,13.49,1697802525000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538182,126.649960,13.39,1697802526000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538301,126.649965,13.24,1697802527000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538429,126.649972,13.75,1697802528000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538548,126.649974,13.44,1697802529000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538661,126.649964,13.00,1697802530000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538774,126.649949,12.68,1697802531000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538877,126.649942,11.91,1697802532000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538972,126.649935,11.20,1697802533000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539062,126.649931,10.48,1697802534000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539147,126.649926,9.86,1697802535000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539234,126.649913,9.90,1697802536000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539327,126.649905,10.13,1697802537000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539410,126.649906,9.68,1697802538000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539485,126.649909,8.75,1697802539000,NORMAL,AUTOMOBILE,0,
8.1,0,37.539551,126.649914,7.87,1697802540000,NORMAL,AUTOMOBILE,0,
8.1,0,37.539602,126.649918,6.73,1697802541000,NORMAL,AUTOMOBILE,0,
8.1,0,37.539637,126.649913,5.40,1697802542000,NORMAL,AUTOMOBILE,0,
8.1,0,37.539661,126.649900,3.65,1697802543000,NORMAL,AUTOMOBILE,0,
8.1,0,37.539665,126.649883,2.58,1697802544000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539647,126.649800,4.54,1697802545000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539618,126.649740,5.36,1697802546000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539558,126.649708,5.87,1697802547000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539490,126.649705,6.48,1697802548000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539425,126.649709,7.00,1697802549000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539350,126.649696,8.13,1697802550000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539278,126.649695,8.24,1697802551000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539214,126.649694,7.43,1697802552000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539127,126.649685,8.43,1697802553000,NORMAL,AUTOMOBILE,0,
8.2,0,37.539045,126.649678,8.81,1697802554000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538971,126.649673,8.48,1697802555000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538897,126.649684,8.14,1697802556000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538822,126.649687,8.03,1697802557000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538731,126.649678,9.17,1697802558000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538650,126.649674,9.27,1697802559000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538579,126.649671,8.54,1697802560000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538505,126.649670,8.38,1697802561000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538452,126.649666,6.94,1697802562000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538393,126.649665,6.55,1697802563000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538342,126.649664,5.99,1697802564000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538319,126.649649,4.16,1697802565000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538312,126.649629,2.23,1697802566000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538279,126.649608,2.92,1697802567000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538258,126.649578,3.05,1697802568000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538231,126.649519,4.72,1697802569000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538231,126.649420,6.98,1697802570000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538232,126.649286,10.40,1697802571000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538230,126.649189,10.34,1697802572000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538230,126.649101,9.20,1697802573000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538240,126.649000,8.79,1697802574000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538235,126.648890,8.93,1697802575000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538236,126.648777,9.21,1697802576000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538251,126.648679,8.69,1697802577000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538254,126.648566,9.19,1697802578000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538275,126.648453,9.82,1697802579000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538283,126.648360,8.94,1697802580000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538296,126.648247,9.43,1697802581000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538315,126.648126,10.26,1697802582000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538338,126.648007,10.71,1697802583000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538363,126.647900,10.35,1697802584000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538390,126.647806,9.55,1697802585000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538412,126.647719,8.65,1697802586000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538432,126.647647,7.50,1697802587000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538455,126.647585,6.48,1697802588000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538469,126.647530,5.48,1697802589000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538482,126.647492,4.37,1697802590000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538494,126.647458,3.42,1697802591000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538502,126.647435,2.66,1697802592000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538504,126.647424,1.57,1697802593000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538505,126.647425,0.35,1697802594000,STOP,AUTOMOBILE,0,
8.2,0,37.538506,126.647403,1.70,1697802622000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538518,126.647362,2.68,1697802623000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538537,126.647312,3.97,1697802624000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538564,126.647237,5.67,1697802625000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538595,126.647176,6.24,1697802626000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538614,126.647121,5.91,1697802627000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538630,126.647076,5.23,1697802628000,NORMAL,AUTOMOBILE,0,
12.8,0,37.538639,126.647050,4.16,1697802629000,NORMAL,AUTOMOBILE,0,
8.2,0,37.538536,126.646979,3.90,1697802630000,NORMAL,AUTOMOBILE,0,
