accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData,output,grid_label
47.8,0,37.461801,126.370012,0.0,1697876646000,START,AUTOMOBILE,0,,AN,KDDADCAA
9.7,0,37.461331,126.37009,4.34,1697876653000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
9.5,0,37.46132,126.370091,3.12,1697876654000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
7.5,0,37.461303,126.370115,2.56,1697876655000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
7.5,0,37.461289,126.37014,2.56,1697876656000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
7.5,0,37.461272,126.370186,3.86,1697876657000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
6.5,0,37.461254,126.370221,5.08,1697876658000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
6.5,0,37.461236,126.370263,5.08,1697876659000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.46121,126.37031,5.08,1697876660000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.461191,126.370366,5.36,1697876661000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.461178,126.370426,5.52,1697876662000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.461158,126.370496,5.72,1697876663000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.461147,126.370566,6.03,1697876664000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.461136,126.370627,5.72,1697876665000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.461087,126.37067,5.59,1697876666000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAA
8.2,0,37.461074,126.370732,5.52,1697876667000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461069,126.370756,3.66,1697876668000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461062,126.370786,3.66,1697876669000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461062,126.370786,1.71,1697876670000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461059,126.370802,1.62,1697876671000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461055,126.370821,1.56,1697876672000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461051,126.370839,1.58,1697876673000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461048,126.370856,1.56,1697876674000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461042,126.370882,1.58,1697876675000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461036,126.370913,2.22,1697876676000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461032,126.370929,2.22,1697876677000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.46103,126.370941,1.68,1697876678000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461025,126.370965,1.68,1697876679000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461026,126.371024,3.33,1697876680000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.461001,126.371078,4.45,1697876681000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460989,126.371151,5.83,1697876682000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460974,126.371241,6.97,1697876683000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460957,126.371345,7.92,1697876684000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460947,126.371407,6.94,1697876685000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460942,126.371439,4.69,1697876686000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460932,126.371501,4.75,1697876687000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460925,126.37154,4.07,1697876688000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460927,126.37158,3.75,1697876689000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460924,126.37159,1.88,1697876690000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460912,126.371613,1.54,1697876691000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460899,126.371652,2.49,1697876692000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460879,126.371667,2.28,1697876693000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.46089,126.371706,3.23,1697876694000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460792,126.371705,4.4,1697876695000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
8.2,0,37.460728,126.371678,5.91,1697876696000,NORMAL,AUTOMOBILE,0,,AN,KDDADCAB
