accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
22.6,0,37.477,126.662663,15.31,1691303617000,START,AUTOMOBILE,6,N,KECADBBC
22.6,0,37.477151,126.66238,15.31,1691303619000,NORMAL,AUTOMOBILE,6,N,KECADBBC
22.6,0,37.477227,126.662237,15.35,1691303620000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477297,126.662085,14.85,1691303621000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477365,126.66195,14.46,1691303622000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.47744,126.661811,14.66,1691303623000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477516,126.661675,14.66,1691303624000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477589,126.661543,14.37,1691303625000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477658,126.661408,14.27,1691303626000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477728,126.66128,14.04,1691303627000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477801,126.661149,14.12,1691303628000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477876,126.661016,14.21,1691303629000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.477946,126.660878,14.36,1691303630000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478015,126.660742,14.19,1691303631000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478085,126.660606,14.25,1691303632000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478153,126.660475,14.21,1691303633000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478226,126.660339,14.34,1691303634000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478306,126.6602,14.59,1691303635000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.47838,126.660058,14.69,1691303636000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478457,126.659922,14.76,1691303637000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478533,126.659775,15.03,1691303638000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478609,126.659633,15.12,1691303639000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478683,126.659491,15.04,1691303640000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478759,126.659354,14.77,1691303641000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478828,126.659218,14.76,1691303642000,NORMAL,AUTOMOBILE,6,N,KECADBBC
24.3,0,37.478898,126.659079,14.53,1691303643000,NORMAL,AUTOMOBILE,6,N,KECADBBC
