accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
13.7,0,36.790485,127.584919,12.77,4789715796156874752,START,AUTOMOBILE,98,AN,IGACABBC
13.9,0,36.790684,127.584747,9.42,4789715796169162752,NORMAL,AUTOMOBILE,98,AN,IGACABBC
59.2,0,36.792059,127.583666,0.0,4789715796656586752,STOP,AUTOMOBILE,98,AN,IGACABAD
9.5,0,36.792589,127.583184,9.54,4789715796681162752,NORMAL,AUTOMOBILE,98,AN,IGACABAD
8.2,0,36.792758,127.583076,5.32,4789715796697546752,NORMAL,AUTOMOBILE,16,AN,IGACABAD
8.2,0,36.792759,127.583083,0.0,4789715796734410752,STOP,AUTOMOBILE,16,AN,IGACABAD
7.5,0,36.793054,127.578517,13.52,4789715797512650752,NORMAL,AUTOMOBILE,16,AN,IGACABAD
8.2,0,36.792603,127.577597,10.94,4789715797545418752,NORMAL,AUTOMOBILE,16,AN,IGACABAD
8.2,0,36.792512,127.577426,9.74,4789715797553610752,NORMAL,AUTOMOBILE,16,AN,IGACABAD
92.4,0,36.789142,127.572059,0.0,4789715797782986752,STOP,AUTOMOBILE,16,AN,IGACABAC
10.1,0,36.788854,127.569866,10.85,4789715797823946752,NORMAL,AUTOMOBILE,16,AN,IGACABAC
9.7,0,36.788799,127.569749,10.94,4789715797828042752,NORMAL,AUTOMOBILE,16,AN,IGACABAC
50.7,0,36.788474,127.569122,0.0,4789715797955018752,STOP,AUTOMOBILE,16,AN,IGACABCA
50.7,0,36.788474,127.569122,0.0,4789715799308463075,END,,0,AN,IGACABCA
