accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
62.2,0,36.789593,127.587815,0.0,4789742904570314752,START,AUTOMOBILE,0,AN,IGACABBC
20.7,0,36.789925,127.587257,11.63,4789742904586698752,NORMAL,AUTOMOBILE,0,AN,IGACABBC
6.6,0,36.789539,127.586393,11.48,4789742904619466752,NORMAL,AUTOMOBILE,3,AN,IGACABBC
103.6,0,36.790571,127.584908,0.0,4789742904725962752,STOP,AUTOMOBILE,3,AN,IGACABBC
6.5,0,36.79272,127.583192,10.79,4789742905385418752,NORMAL,AUTOMOBILE,14,AN,IGACABAD
8.2,0,36.793531,127.582568,13.3,4789742905422282752,NORMAL,AUTOMOBILE,14,AN,IGACABAD
8.2,0,36.793641,127.582478,14.06,4789742905426378752,NORMAL,AUTOMOBILE,14,AN,IGACABAD
51.4,0,36.792582,127.577751,0.0,4789742906077642752,STOP,AUTOMOBILE,14,AN,IGACABAD
51.4,0,36.792582,127.577751,0.0,4789742931110879642,END,,0,AN,IGACABAD
