accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
8.2,0,37.532706,126.644594,6.23,1694773111000,START,AUTOMOBILE,1,N,KECABBAC
50.7,0,37.529342,126.644175,0.0,1694773215000,STOP,AUTOMOBILE,32,N,KECABBAC
37.4,0,37.529414,126.644466,3.05,1694773217000,NORMAL,AUTOMOBILE,32,N,KECABBAC
12.5,0,37.529312,126.644369,3.35,1694773218000,NORMAL,AUTOMOBILE,32,N,KECABBAC
11.0,0,37.529255,126.644345,3.34,1694773219000,NORMAL,AUTOMOBILE,32,N,KECABBAC
10.1,0,37.529237,126.64434,3.34,1694773220000,NORMAL,AUTOMOBILE,32,N,KECABBAC
8.9,0,37.529176,126.644338,3.41,1694773221000,NORMAL,AUTOMOBILE,32,N,KECABBAC
7.9,0,37.529126,126.644306,3.71,1694773222000,NORMAL,AUTOMOBILE,32,N,KECABBAC
7.5,0,37.52909,126.644263,3.45,1694773223000,NORMAL,AUTOMOBILE,32,N,KECABBAC
7.5,0,37.529059,126.644263,3.45,1694773224000,NORMAL,AUTOMOBILE,32,N,KECABBCA
6.5,0,37.529037,126.644263,2.59,1694773225000,NORMAL,AUTOMOBILE,32,N,KECABBCA
6.5,0,37.529012,126.644262,2.28,1694773226000,NORMAL,AUTOMOBILE,32,N,KECABBCA
6.5,0,37.528992,126.644262,2.28,1694773227000,NORMAL,AUTOMOBILE,32,N,KECABBCA
6.5,0,37.528976,126.644262,1.89,1694773228000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.528959,126.644262,1.89,1694773229000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.528947,126.644262,1.65,1694773230000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.528935,126.644262,1.43,1694773231000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.528901,126.644261,2.83,1694773232000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.52889,126.644262,1.59,1694773233000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.528875,126.644263,1.59,1694773234000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.52887,126.644263,0.87,1694773235000,STOP,AUTOMOBILE,32,N,KECABBCA
11.0,0,37.528839,126.644264,1.22,1694773243000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.528827,126.644264,1.36,1694773244000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.52882,126.644264,1.22,1694773245000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.2,0,37.528826,126.644264,0.2,1694773246000,STOP,AUTOMOBILE,32,N,KECABBCA
8.1,0,37.528859,126.644263,1.32,1694773269000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.1,0,37.528856,126.644263,0.62,1694773270000,STOP,AUTOMOBILE,32,N,KECABBCA
8.1,0,37.52884,126.644264,1.0,1694773277000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.1,0,37.528839,126.644264,1.13,1694773278000,NORMAL,AUTOMOBILE,32,N,KECABBCA
8.1,0,37.528843,126.644264,0.16,1694773279000,STOP,AUTOMOBILE,32,N,KECABBCA
8.1,0,37.528843,126.644264,0.16,1694776713926,END,,0,N,KECABBCA
