accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
21.5,0,37.532125,126.641154,5.43,1692423871000,START,AUTOMOBILE,298,N,KECABABD
12.5,0,37.532789,126.640723,9.24,1692423884000,NORMAL,AUTOMOBILE,298,N,KECABABD
11.9,0,37.533667,126.640703,7.53,1692423894000,NORMAL,AUTOMOBILE,298,N,KECABABD
11.6,0,37.533715,126.640703,6.39,1692423895000,NORMAL,AUTOMOBILE,298,N,KECABABD
11.2,0,37.533759,126.640703,5.32,1692423896000,NORMAL,AUTOMOBILE,298,N,KECABABD
12.0,0,37.533763,126.640703,3.29,1692423897000,NORMAL,AUTOMOBILE,298,N,KECABABD
11.2,0,37.533784,126.640702,2.21,1692423898000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.533805,126.640702,1.29,1692423899000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.533814,126.640705,0.51,1692423900000,STOP,AUTOMOBILE,298,N,KECABABD
8.2,0,37.533844,126.640668,1.19,1692423926000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.53387,126.640667,2.53,1692423927000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.533902,126.640667,3.21,1692423928000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.533947,126.640665,4.47,1692423929000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534004,126.640662,5.76,1692423930000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534074,126.640661,6.92,1692423931000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534147,126.640661,7.83,1692423932000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534229,126.640661,8.69,1692423933000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534326,126.64066,9.9,1692423934000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.53442,126.640662,10.43,1692423935000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534516,126.640665,10.52,1692423936000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.53461,126.640671,10.46,1692423937000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.5347,126.640682,10.11,1692423938000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534791,126.640688,10.17,1692423939000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.53488,126.640693,10.01,1692423940000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.534966,126.640693,9.63,1692423941000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535044,126.640693,8.89,1692423942000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535123,126.640687,8.65,1692423943000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535203,126.640686,8.75,1692423944000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535279,126.640686,8.27,1692423945000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535355,126.640685,8.19,1692423946000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535416,126.640687,6.98,1692423947000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535473,126.640688,6.47,1692423948000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535523,126.640687,5.84,1692423949000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535571,126.640684,5.3,1692423950000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535608,126.640682,4.34,1692423951000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535636,126.640683,3.7,1692423952000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535667,126.640682,3.31,1692423953000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.53568,126.640684,2.17,1692423954000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535697,126.640681,1.97,1692423955000,NORMAL,AUTOMOBILE,298,N,KECABABD
8.2,0,37.535712,126.640684,1.52,1692423956000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.535719,126.640681,0.86,1692423957000,STOP,AUTOMOBILE,298,N,KECABABB
8.1,0,37.535754,126.640675,1.5,1692423969000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.1,0,37.535784,126.640678,2.69,1692423970000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.1,0,37.535811,126.640681,2.81,1692423971000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.535839,126.64069,2.9,1692423972000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.1,0,37.535847,126.640692,2.36,1692423973000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.535895,126.640692,4.19,1692423974000,NORMAL,AUTOMOBILE,298,N,KECABABB
12.3,0,37.535918,126.640702,4.7,1692423975000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.53598,126.640879,5.78,1692423976000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.53598,126.640964,6.86,1692423977000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.53598,126.641054,7.51,1692423978000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.53598,126.641147,7.85,1692423979000,NORMAL,AUTOMOBILE,298,N,KECABABB
8.2,0,37.53598,126.641246,8.72,1692423980000,NORMAL,AUTOMOBILE,298,N,KECABBAA
8.2,0,37.53598,126.641364,9.95,1692423981000,NORMAL,AUTOMOBILE,298,N,KECABBAA
8.2,0,37.53598,126.641488,10.82,1692423982000,NORMAL,AUTOMOBILE,298,N,KECABBAA
8.2,0,37.535987,126.641622,11.61,1692423983000,NORMAL,AUTOMOBILE,298,N,KECABBAA
