accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
18.3,0,37.484486,126.676825,4.59,1692428867000,START,AUTOMOBILE,636,N,KECBCAAA
18.3,0,37.48446,126.676655,5.06,1692428871000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
20.3,0,37.487594,126.675279,13.25,1692428925000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
20.3,0,37.487715,126.675299,13.25,1692428926000,NORMAL,STATION,636,N,KECBCAAA
20.3,0,37.487839,126.675308,13.37,1692428927000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
20.3,0,37.487972,126.6753,13.66,1692428928000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
20.3,0,37.48811,126.675302,15.81,1692428929000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
18.3,0,37.488251,126.6753,15.81,1692428930000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.9,0,37.488394,126.675294,15.81,1692428931000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.488518,126.675296,15.81,1692428932000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.488621,126.675304,14.31,1692428933000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.488724,126.675313,12.81,1692428934000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.488868,126.675321,14.64,1692428935000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.488999,126.67533,14.64,1692428936000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.489134,126.675336,15.06,1692428937000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.489271,126.675346,15.31,1692428938000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.4894,126.675357,15.0,1692428939000,NORMAL,AUTOMOBILE,636,N,KECBCAAA
22.6,0,37.489538,126.675361,15.27,1692428940000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.489675,126.675378,15.27,1692428941000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.489815,126.675382,15.34,1692428942000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.489951,126.675388,15.3,1692428943000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.490101,126.675398,15.98,1692428944000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.490243,126.67541,15.98,1692428945000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.49038,126.675415,15.98,1692428946000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.490517,126.675428,15.6,1692428947000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.490661,126.675438,15.66,1692428948000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.49081,126.675446,15.66,1692428949000,NORMAL,AUTOMOBILE,636,N,KECBACCC
22.6,0,37.490963,126.67545,16.33,1692428950000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.491103,126.675432,16.98,1692428951000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.491257,126.675439,17.2,1692428952000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.491417,126.675449,17.37,1692428953000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.491581,126.67546,17.82,1692428954000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.491765,126.675456,18.74,1692428955000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.491943,126.675466,19.59,1692428956000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.492118,126.675488,20.05,1692428957000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.492272,126.6755,18.66,1692428958000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.492438,126.675502,18.66,1692428959000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.492574,126.675513,16.46,1692428960000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.492699,126.675514,14.23,1692428961000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.492839,126.675517,14.06,1692428962000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.49302,126.675546,16.99,1692428963000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.493161,126.675546,16.51,1692428964000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.493297,126.675554,16.14,1692428965000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.493414,126.675553,14.31,1692428966000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.493535,126.675561,13.6,1692428967000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.493668,126.675576,14.04,1692428968000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.493788,126.675582,13.39,1692428969000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.493933,126.675593,14.97,1692428970000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.494071,126.675599,15.36,1692428971000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.494216,126.675613,16.17,1692428972000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.494349,126.67562,15.83,1692428973000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.494474,126.675619,14.8,1692428974000,NORMAL,AUTOMOBILE,636,N,KECBACCC
24.3,0,37.49461,126.675621,14.81,1692428975000,NORMAL,AUTOMOBILE,636,N,KECBACCC
