accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
22.6,0,37.485097,126.632346,16.33,4789732774437322752,START,AUTOMOBILE,8,N,KECADABA
22.6,0,37.485008,126.632508,16.71,4789732774441418752,NORMAL,AUTOMOBILE,8,N,KECADABA
22.6,0,37.484356,126.633639,17.57,4789732774470090752,NORMAL,AUTOMOBILE,8,N,KECADABB
22.6,0,37.484087,126.634104,17.35,4789732774482378752,NORMAL,AUTOMOBILE,8,N,KECADABB
24.3,0,37.483468,126.635215,17.23,4789732774511050752,NORMAL,AUTOMOBILE,8,N,KECADABB
24.3,0,37.483198,126.635677,16.59,4789732774523338752,NORMAL,AUTOMOBILE,8,N,KECADABB
24.3,0,37.482505,126.636828,9.2,4789732774568394752,NORMAL,AUTOMOBILE,8,N,KECADABD
39.0,0,37.482772,126.642022,0.0,4789732774990282752,STOP,AUTOMOBILE,8,N,KECADBAC
17.3,0,37.484074,126.64277,14.32,4789732775039434752,NORMAL,AUTOMOBILE,8,N,KECADBAA
23.3,0,37.484895,126.643616,13.18,4789732775076298752,NORMAL,AUTOMOBILE,2,N,KECADBAA
23.3,0,37.484995,126.643715,14.0,4789732775080394752,NORMAL,AUTOMOBILE,2,N,KECADBAA
22.9,0,37.485883,126.644701,15.18,4789732775117258752,NORMAL,AUTOMOBILE,2,N,KECADBAA
22.9,0,37.48598,126.644824,15.18,4789732775121354752,NORMAL,AUTOMOBILE,2,N,KECADBAA
24.3,0,37.486767,126.645619,15.49,4789732775150026752,NORMAL,AUTOMOBILE,2,N,KECADBAA
24.3,0,37.487097,126.645968,15.78,4789732775162314752,NORMAL,AUTOMOBILE,2,N,KECADBAA
24.3,0,37.487931,126.64679,17.34,4789732775190986752,NORMAL,AUTOMOBILE,2,N,KECADBAA
24.3,0,37.488287,126.647083,15.31,4789732775203274752,NORMAL,AUTOMOBILE,2,N,KECADBAA
24.3,0,37.489225,126.647565,16.57,4789732775231946752,NORMAL,AUTOMOBILE,2,N,KECADBAA
24.3,0,37.489848,126.647719,17.95,4789732775248330752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.490825,126.647787,17.69,4789732775272906752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.491413,126.647827,15.83,4789732775289290752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.492682,126.647887,18.79,4789732775322058752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.493023,126.647909,19.01,4789732775330250752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.494043,126.647959,17.87,4789732775354826752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.494669,126.647991,17.5,4789732775371210752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.495952,126.648047,17.63,4789732775403978752,NORMAL,AUTOMOBILE,2,N,KECABDCC
24.3,0,37.496279,126.648073,17.99,4789732775412170752,NORMAL,AUTOMOBILE,2,N,KECABDCA
24.3,0,37.497277,126.648121,19.09,4789732775436746752,NORMAL,AUTOMOBILE,2,N,KECABDCA
24.3,0,37.497984,126.648151,19.62,4789732775457226752,NORMAL,AUTOMOBILE,2,N,KECABDCA
24.3,0,37.499015,126.648207,18.46,4789732775477706752,NORMAL,AUTOMOBILE,2,N,KECABDCA
24.3,0,37.500236,126.64826,16.57,4789732775510474752,NORMAL,AUTOMOBILE,2,N,KECABDCA
8.2,0,37.501124,126.648312,16.16,4789732775535050752,NORMAL,AUTOMOBILE,2,N,KECABDCA
8.2,0,37.501704,126.648345,16.2,4789732775551434752,NORMAL,STATION,2,N,KECABDCA
8.2,0,37.502514,126.648397,15.38,4789732775576010752,NORMAL,AUTOMOBILE,2,N,KECABDCA
8.2,0,37.503076,126.648446,15.05,4789732775592394752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.2,0,37.504099,126.648487,14.26,4789732775625162752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.2,0,37.504375,126.648494,15.2,4789732775633354752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.2,0,37.505192,126.648531,15.01,4789732775657930752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.2,0,37.505705,126.64855,14.14,4789732775678410752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.2,0,37.506739,126.648591,14.4,4789732775707082752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.2,0,37.507142,126.648615,14.92,4789732775719370752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.1,0,37.508104,126.648663,15.12,4789732775748042752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.1,0,37.508498,126.648676,14.71,4789732775760330752,NORMAL,AUTOMOBILE,2,N,KECABDAC
8.2,0,37.509326,126.648727,13.06,4789732775789002752,NORMAL,AUTOMOBILE,2,N,KECABDAA
8.2,0,37.509681,126.64874,13.34,4789732775801290752,NORMAL,AUTOMOBILE,2,N,KECABDAA
8.2,0,37.510617,126.648824,16.23,4789732775829962752,NORMAL,AUTOMOBILE,2,N,KECABDAA
8.2,0,37.511081,126.648852,17.78,4789732775842250752,NORMAL,AUTOMOBILE,2,N,KECABDAA
8.2,0,37.51217,126.648918,16.6,4789732775870922752,NORMAL,AUTOMOBILE,2,N,KECABDAA
8.2,0,37.512607,126.648942,16.22,4789732775887306752,NORMAL,AUTOMOBILE,2,N,KECABDAB
8.2,0,37.513638,126.649003,16.59,4789732775911882752,NORMAL,AUTOMOBILE,2,N,KECABDAB
8.2,0,37.514238,126.649021,16.48,4789732775928266752,NORMAL,AUTOMOBILE,2,N,KECABDAB
8.2,0,37.515134,126.649072,16.75,4789732775952842752,NORMAL,AUTOMOBILE,2,N,KECABDAB
8.2,0,37.515744,126.649101,17.21,4789732775969226752,NORMAL,AUTOMOBILE,2,N,KECABDAB
8.2,0,37.51662,126.649139,16.17,4789732775993802752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.2,0,37.517247,126.649169,17.68,4789732776010186752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.2,0,37.518177,126.649208,17.75,4789732776034762752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.2,0,37.518796,126.64923,16.79,4789732776051146752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.2,0,37.519696,126.649255,16.62,4789732776075722752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.2,0,37.520312,126.649276,18.08,4789732776096202752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.2,0,37.521343,126.649344,19.99,4789732776116682752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.1,0,37.522291,126.649384,16.5,4789732776141258752,NORMAL,AUTOMOBILE,2,N,KECABBCD
8.1,0,37.523181,126.649462,15.33,4789732776165834752,NORMAL,AUTOMOBILE,2,N,KECABBCB
8.1,0,37.523763,126.649497,16.0,4789732776182218752,NORMAL,AUTOMOBILE,2,N,KECABBCB
8.1,0,37.524577,126.649537,11.47,4789732776210890752,NORMAL,AUTOMOBILE,2,N,KECABBCB
8.2,0,37.524846,126.649553,9.22,4789732776223178752,NORMAL,AUTOMOBILE,2,N,KECABBCB
8.2,0,37.524846,126.649553,9.22,4789732778994260738,END,,0,N,KECABBCB
