accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData,output,grid_label
46.7,0,37.532021,126.656259,0.0,1700823536000,START,WALK,939,,N,KECABBAD
42.3,0,37.530061,126.65642,0.0,1700823685000,STOP,WALK,28,,N,KECABBAD
17.3,0,37.52998,126.654811,11.8,1700823695000,NORMAL,WALK,28,,N,KECABBAD
17.3,0,37.529981,126.65469,11.8,1700823696000,NORMAL,WALK,28,,N,KECABBAD
54.7,0,37.530041,126.651495,0.0,1700823810000,STOP,WALK,28,,N,KECABBAD
18.4,0,37.530032,126.650943,10.52,1700823814000,NORMAL,WALK,28,,N,KECABBAD
54.5,0,37.535242,126.649793,0.0,1700823907000,STOP,WALK,28,,N,KECABBAD
24.3,0,37.535137,126.649825,3.51,1700823932000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
24.0,0,37.535173,126.649833,4.62,1700823933000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
23.8,0,37.535215,126.649846,4.62,1700823934000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
23.4,0,37.535266,126.649849,6.1,1700823935000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
23.0,0,37.53532,126.649859,6.82,1700823936000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
22.7,0,37.535388,126.64985,7.75,1700823937000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
20.9,0,37.535462,126.649846,8.28,1700823938000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
20.4,0,37.535539,126.64985,8.28,1700823939000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
20.3,0,37.535623,126.649854,8.93,1700823940000,NORMAL,AUTOMOBILE,0,,N,KECABBAD
23.3,0,37.535703,126.649857,8.93,1700823941000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
23.3,0,37.53581,126.64986,10.46,1700823942000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.9,0,37.535906,126.649865,10.52,1700823943000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.9,0,37.536,126.649865,10.46,1700823944000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.9,0,37.536089,126.649867,10.01,1700823945000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.9,0,37.536175,126.649877,9.81,1700823946000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.536276,126.649881,10.66,1700823947000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.536369,126.649882,10.66,1700823948000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.536472,126.649891,10.7,1700823949000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.53659,126.649897,12.01,1700823950000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.536696,126.649905,12.06,1700823951000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.536812,126.649912,12.06,1700823952000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.53693,126.649915,12.56,1700823953000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.537058,126.649921,13.31,1700823954000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.537186,126.649925,13.89,1700823955000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.537307,126.649928,13.75,1700823956000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.53743,126.649931,13.75,1700823957000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.537537,126.649939,12.72,1700823958000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.537657,126.649932,13.17,1700823959000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
22.6,0,37.537776,126.649931,13.17,1700823960000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.537895,126.649956,12.58,1700823961000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538005,126.649963,12.09,1700823962000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538104,126.649966,11.46,1700823963000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538201,126.649972,10.91,1700823964000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538296,126.649968,10.63,1700823965000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538384,126.64997,10.33,1700823966000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.53848,126.649971,10.65,1700823967000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538569,126.649963,10.46,1700823968000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538659,126.649955,10.21,1700823969000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538751,126.649942,10.25,1700823970000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.538841,126.649929,10.1,1700823971000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.53892,126.649919,9.73,1700823972000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539008,126.649911,9.6,1700823973000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539081,126.649905,8.82,1700823974000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539149,126.649891,8.39,1700823975000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539213,126.649876,7.78,1700823976000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539251,126.649886,6.3,1700823977000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539297,126.649882,5.46,1700823978000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539352,126.649882,5.76,1700823979000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539417,126.649888,6.54,1700823980000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539469,126.649894,6.21,1700823981000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539517,126.649889,5.62,1700823982000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.53956,126.649887,5.17,1700823983000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539599,126.649886,4.66,1700823984000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539625,126.649871,3.73,1700823985000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
24.3,0,37.539648,126.649834,3.61,1700823986000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
