accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
61.9,0,37.53736,126.642717,0.0,4789712857166282752,START,WALK,442,N,KECABBAA
55.4,0,37.537404,126.642685,0.0,4789712857170378752,STOP,WALK,442,N,KECABBAA
9.5,0,37.537272,126.642583,3.27,4789712862720458752,NORMAL,WALK,0,N,KECABBAA
55.2,0,37.536635,126.643881,0.0,4789712862998986752,STOP,WALK,32,N,KECABBAA
13.6,0,37.537458,126.643255,2.8,4789712863863242752,NORMAL,WALK,73,N,KECABBAA
13.6,0,37.537458,126.643255,2.8,4789712867082247655,END,,0,N,KECABBAA
