accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
52.7,0,37.538031,126.648516,0.0,4789712464851402752,START,WALK,152,N,KECABBAA
91.4,0,37.53835,126.648546,0.0,4789712464867786752,STOP,WALK,152,N,KECABBAA
9.5,0,37.539093,126.644863,3.48,4789712465621450752,NORMAL,WALK,63,N,KECABBAA
8.2,0,37.539104,126.644904,0.0,4789712465662410752,STOP,AUTOMOBILE,63,N,KECABBAA
8.2,0,37.538019,126.644234,3.35,4789712466039242752,NORMAL,STATION,63,N,KECABBAA
74.0,0,37.536627,126.643776,0.0,4789712466395594752,STOP,STATION,1,N,KECABBAA
8.8,0,37.533772,126.645485,4.52,4789712466964938752,NORMAL,STATION,1,N,KECABBAC
8.8,0,37.533729,126.645481,4.62,4789712466969034752,NORMAL,STATION,1,N,KECABBAC
8.9,0,37.533694,126.645483,4.62,4789712466973130752,NORMAL,STATION,1,N,KECABBAC
8.9,0,37.533694,126.645483,4.62,4789712473329647895,END,,0,N,KECABBAC
