accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData,output,grid_label
1016.0,0,37.549215,126.650836,0.0,1699608133000,START,AUTOMOBILE,0,,N,KEACDDCB
34.5,0,37.549955,126.650261,15.02,1699608138000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
16.1,0,37.550075,126.650275,15.02,1699608139000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
12.2,0,37.550191,126.650266,14.42,1699608140000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
35.3,0,37.550307,126.650285,13.7,1699608141000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
10.6,0,37.550353,126.650297,8.96,1699608142000,RAPID1,AUTOMOBILE,0,,N,KEACDDCB
7.5,0,37.550447,126.650291,8.96,1699608143000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
6.5,0,37.550525,126.650289,7.54,1699608144000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
6.5,0,37.550569,126.650291,6.6,1699608145000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
6.5,0,37.550607,126.650286,5.47,1699608146000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
6.5,0,37.550641,126.650292,2.95,1699608147000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
6.5,0,37.550667,126.650287,2.95,1699608148000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
6.5,0,37.550693,126.650283,2.85,1699608149000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
8.2,0,37.550718,126.650283,2.85,1699608150000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
8.2,0,37.550732,126.650283,2.7,1699608151000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
8.2,0,37.550734,126.650284,0.95,1699608152000,STOP,AUTOMOBILE,0,,N,KEACDDCB
8.1,0,37.550776,126.65029,1.99,1699608216000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
8.1,0,37.550821,126.650291,3.8,1699608217000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
8.1,0,37.550869,126.65029,4.66,1699608218000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
8.1,0,37.550926,126.650294,5.52,1699608219000,NORMAL,AUTOMOBILE,0,,N,KEACDDCB
