accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData,output,grid_label
43.9,0,37.538811,126.646633,0.0,1701339992000,START,WALK,926,,N,KECABBAA
38.3,0,37.538769,126.646818,0.71,1701339997000,STOP,WALK,8,,N,KECABBAA
31.1,0,37.538149,126.646495,1.08,1701340179000,NORMAL,WALK,15,,N,KECABBAA
37.0,0,37.537865,126.646974,1.08,1701340189000,NORMAL,WALK,13,,N,KECABBAA
39.7,0,37.538007,126.648452,0.0,1701340364000,STOP,WALK,268,,N,KECABBAA
39.7,0,37.538007,126.648452,0.0,1701387001005,END,,0,,N,KECABBAA
