accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
8.2,0,35.813098,129.196881,5.47,1696125023000,START,AUTOMOBILE,16,AN,GJCBADBC
272.9,0,35.821206,129.21526,0.0,1696125312000,STOP,AUTOMOBILE,69,AN,GJCBBCAB
7.5,0,35.821598,129.217507,21.04,1696125323000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
7.5,0,35.821635,129.217729,20.22,1696125324000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
7.5,0,35.821676,129.217953,20.22,1696125325000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
6.5,0,35.821678,129.218181,20.0,1696125326000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
6.5,0,35.821711,129.2184,19.81,1696125327000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.821743,129.218616,19.81,1696125328000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.821774,129.218823,19.33,1696125329000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.821803,129.219009,18.05,1696125330000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.821833,129.219203,18.05,1696125331000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.821878,129.219399,18.05,1696125332000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.821907,129.219597,17.89,1696125333000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
15.3,0,35.822095,129.220327,16.95,1696125337000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
13.8,0,35.822178,129.220503,16.95,1696125338000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
18.8,0,35.822262,129.220659,16.95,1696125339000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
15.2,0,35.822357,129.220795,16.63,1696125340000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
13.1,0,35.822468,129.220931,16.63,1696125341000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
11.7,0,35.822588,129.221054,17.09,1696125342000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
11.5,0,35.822714,129.221176,17.09,1696125343000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.822844,129.221287,17.09,1696125344000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.822988,129.221376,17.48,1696125345000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.823137,129.221455,17.83,1696125346000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.2,0,35.82328,129.221511,17.83,1696125347000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.1,0,35.823376,129.22157,16.24,1696125348000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.1,0,35.823526,129.221615,16.67,1696125349000,NORMAL,AUTOMOBILE,69,AN,GJCBBCAB
8.1,0,35.82369,129.221662,17.81,1696125350000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.1,0,35.823866,129.221708,18.95,1696125351000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.2,0,35.824067,129.221779,20.76,1696125352000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.2,0,35.824211,129.221809,18.66,1696125353000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.2,0,35.824356,129.221866,17.52,1696125354000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.2,0,35.824498,129.221905,16.3,1696125355000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.2,0,35.824643,129.221997,16.82,1696125356000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.2,0,35.824792,129.222078,17.4,1696125357000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.1,0,35.824914,129.222214,17.91,1696125358000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.1,0,35.825038,129.22235,18.59,1696125359000,NORMAL,AUTOMOBILE,69,AN,GJCBBACD
8.1,0,35.825155,129.22249,18.83,1696125360000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825269,129.222643,18.98,1696125361000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825351,129.222821,19.19,1696125362000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.82543,129.22301,19.47,1696125363000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825488,129.223194,19.19,1696125364000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.82553,129.223401,19.43,1696125365000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825559,129.223609,19.57,1696125366000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
10.9,0,35.825573,129.223823,19.67,1696125367000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825579,129.22403,19.65,1696125368000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825586,129.224232,19.05,1696125369000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825592,129.224425,18.01,1696125370000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825602,129.224627,17.67,1696125371000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825611,129.224834,17.98,1696125372000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825614,129.225044,18.58,1696125373000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825625,129.225268,19.58,1696125374000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
10.9,0,35.825632,129.225478,19.42,1696125375000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.82564,129.225686,19.2,1696125376000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825648,129.225899,19.19,1696125377000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825655,129.226108,19.05,1696125378000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825663,129.226323,19.26,1696125379000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.2,0,35.82567,129.22653,19.05,1696125380000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.2,0,35.825677,129.226739,18.99,1696125381000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825682,129.226947,19.04,1696125382000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825686,129.227152,18.73,1696125383000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825689,129.227357,18.49,1696125384000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825693,129.227562,18.57,1696125385000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825696,129.227767,18.51,1696125386000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825701,129.227976,18.61,1696125387000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825706,129.22817,18.03,1696125388000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825711,129.228358,17.28,1696125389000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825717,129.228545,16.9,1696125390000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825782,129.228724,16.52,1696125391000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825788,129.228899,16.13,1696125392000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825792,129.229079,16.12,1696125393000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825797,129.229255,16.03,1696125394000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825803,129.229431,15.98,1696125395000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825751,129.229612,16.02,1696125396000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825757,129.229788,15.98,1696125397000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825762,129.22997,16.32,1696125398000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825766,129.230143,16.25,1696125399000,NORMAL,AUTOMOBILE,69,AN,GJCBBADC
8.1,0,35.825774,129.230332,16.36,1696125400000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825781,129.230514,16.58,1696125401000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825786,129.230697,16.54,1696125402000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825791,129.230881,16.55,1696125403000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825796,129.231067,16.79,1696125404000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.9,0,35.8258,129.231258,15.8,1696125405000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825805,129.231439,16.74,1696125406000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825809,129.231601,15.43,1696125407000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825813,129.23175,14.38,1696125408000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.825819,129.231908,14.27,1696125409000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
7.8,0,35.825826,129.232071,14.3,1696125410000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
11.7,0,35.825862,129.23238,14.05,1696125412000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
11.7,0,35.825897,129.232533,14.05,1696125413000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
14.0,0,35.826051,129.233199,12.27,1696125418000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
14.0,0,35.826082,129.233329,12.27,1696125419000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.8,0,35.826114,129.233477,12.27,1696125420000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.3,0,35.826162,129.233565,11.03,1696125421000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.3,0,35.826194,129.233647,10.42,1696125422000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.3,0,35.826191,129.233669,6.54,1696125423000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.5,0,35.826209,129.23372,6.54,1696125424000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.7,0,35.826218,129.23374,5.02,1696125425000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.4,0,35.826219,129.233741,2.96,1696125426000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.2,0,35.826224,129.233751,1.81,1696125427000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
10.0,0,35.826237,129.233778,1.81,1696125428000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826234,129.233771,1.93,1696125429000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.2,0,35.826241,129.233786,1.6,1696125430000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.4,0,35.82624,129.233783,0.92,1696125431000,STOP,AUTOMOBILE,69,AN,GJCBBADD
8.2,0,35.826253,129.23381,1.02,1696125452000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.2,0,35.826259,129.233823,1.18,1696125453000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.2,0,35.826258,129.23382,0.55,1696125454000,STOP,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826263,129.23383,1.01,1696125458000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826272,129.233848,1.5,1696125459000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826283,129.233871,1.84,1696125460000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826296,129.233898,2.42,1696125461000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826312,129.23393,3.01,1696125462000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826332,129.233971,3.71,1696125463000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826353,129.234014,4.0,1696125464000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826374,129.234056,4.14,1696125465000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.8264,129.234109,4.87,1696125466000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826431,129.234172,5.82,1696125467000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826458,129.234217,5.1,1696125468000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826477,129.234249,4.11,1696125469000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826501,129.234291,4.34,1696125470000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826531,129.234344,5.28,1696125471000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826574,129.234419,6.97,1696125472000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826622,129.234502,8.3,1696125473000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826718,129.234617,11.12,1696125474000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.82677,129.234705,11.07,1696125475000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826852,129.23479,11.71,1696125476000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826923,129.234881,11.54,1696125477000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.826985,129.234958,10.63,1696125478000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.827033,129.235019,9.09,1696125479000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.827069,129.235065,7.38,1696125480000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.827104,129.235099,6.09,1696125481000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.827119,129.235119,4.29,1696125482000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.82712,129.235127,2.47,1696125483000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.827119,129.235129,1.25,1696125484000,NORMAL,AUTOMOBILE,69,AN,GJCBBADD
8.1,0,35.827118,129.235127,0.58,1696125485000,STOP,AUTOMOBILE,69,AN,GJCBBADD
7.8,0,35.827133,129.235132,1.33,1696125589000,NORMAL,STATION,69,AN,GJCBBADD
7.9,0,35.827157,129.235151,2.37,1696125590000,NORMAL,STATION,69,AN,GJCBBADD
7.8,0,35.827205,129.235192,4.24,1696125591000,NORMAL,STATION,69,AN,GJCBBADD
7.9,0,35.827271,129.235273,6.84,1696125592000,NORMAL,STATION,69,AN,GJCBBADD
7.9,0,35.827337,129.235342,8.17,1696125593000,NORMAL,STATION,69,AN,GJCBBADD
7.8,0,35.827411,129.235415,9.37,1696125594000,NORMAL,STATION,69,AN,GJCBBADD
7.7,0,35.827494,129.235505,10.41,1696125595000,NORMAL,STATION,69,AN,GJCBBADD
7.6,0,35.827566,129.235598,11.2,1696125596000,NORMAL,STATION,69,AN,GJCBBADD
7.7,0,35.827677,129.235693,12.67,1696125597000,NORMAL,STATION,69,AN,GJCBBADD
7.6,0,35.827787,129.235812,14.12,1696125598000,NORMAL,STATION,69,AN,GJCBBADD
