accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
12.9,0,37.538166,126.649033,0.67,4789742506791370752,START,AUTOMOBILE,624,N,KECABBAB
98.2,0,37.538206,126.649819,0.0,4789742507033034752,STOP,AUTOMOBILE,624,N,KECABBAB
7.5,0,37.537275,126.649734,7.61,4789742507086282752,NORMAL,AUTOMOBILE,624,N,KECABBAB
51.1,0,37.535712,126.653238,0.0,4789742507504074752,STOP,AUTOMOBILE,624,N,KECABBAB
18.9,0,37.535508,126.653232,8.58,4789742507532746752,NORMAL,AUTOMOBILE,624,N,KECABBAD
18.9,0,37.535508,126.653232,8.58,4789742530879307547,END,,0,N,KECABBAD
