accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
56.2,0,37.538616,126.646932,0.0,4789712505848266752,START,WALK,0,N,KECABBAA
52.9,0,37.538588,126.646927,0.0,4789712505856458752,STOP,WALK,0,N,KECABBAA
19.9,0,37.538046,126.646005,1.5,4789712506044874752,NORMAL,WALK,75,N,KECABBAA
59.0,0,37.538,126.64458,0.0,4789712506454474752,STOP,WALK,173,N,KECABBAA
10.4,0,37.537511,126.644828,1.68,4789712506696138752,NORMAL,WALK,54,N,KECABBAA
51.3,0,37.537294,126.643283,0.0,4789712506945994752,STOP,WALK,112,N,KECABBAA
51.3,0,37.537294,126.643283,0.0,4789712523749147091,END,,0,N,KECABBAA
