accuracy,id,lat,lng,speed,time,type,state,stepCount,output,grid_label
49.8,0,37.536742,126.644645,0.0,4789713879105994752,START,WALK,213,N,KECABBAA
18.6,0,37.536888,126.644682,1.26,4789713879146954752,NORMAL,WALK,14,N,KECABBAA
13.6,0,37.536921,126.644691,1.04,4789713879163338752,NORMAL,WALK,14,N,KECABBAA
9.5,0,37.537789,126.644703,1.11,4789713879556554752,NORMAL,WALK,164,N,KECABBAA
7.5,0,37.537791,126.644706,0.6,4789713879560650752,STOP,WALK,164,N,KECABBAA
7.5,0,37.537791,126.644706,0.6,4789713880789685600,END,,0,N,KECABBAA
