,F1,grid_path
103,N,['UIBCCBD']
104,N,['UIBCCBD']
105,N,['UIBCCBC']
106,N,['UIBCCBD']
107,N,['UIBCCBD']
108,N,['UIBCCBD']
109,N,['UIBCCBD']
110,N,['UIBCCBD']
111,N,['UIBCCBD']
112,N,['UIBCCBD']
113,AN,"['UIBCADD', 'UIBCADC', 'UIBCACD', 'UIBCACC', 'UIADBDD']"
114,AN,"['UIADBDD', 'UIADDBA', 'UIADDAB', 'UIADDAA', 'UIADDAC', 'UIADCBD', 'UIADCBC', 'UIADCDA', 'UIADCCB', 'UIADCCD', 'UIADCCC', 'UICABBB', 'UICABBA', 'UICABBC', 'UICABAD', 'UICABAC', 'UICABCA', 'UICAADB', 'UICAADD', 'UICAADC', 'UICACBA', 'UICACBC', 'UICACDA', 'UICACDC', 'UICCABA', 'UICCAAB', 'UICCAAD', 'UICCAAC', 'UICCAAA', 'UICCAAC', 'UHDDBBD']"
115,AN,"['UICCAAC', 'UICCAAD', 'UICCABA', 'UICACDC', 'UICACDA', 'UICACBC', 'UICACBA', 'UICAADC', 'UICAADD', 'UICAADB', 'UICABCA', 'UICABAC', 'UICABAD', 'UICABBC', 'UICABBA', 'UICABBB', 'UICBAAA', 'UIADCCC', 'UIADCCD', 'UIADCCB', 'UIADCDA', 'UIADCBC', 'UIADCBD', 'UIADDAC', 'UIADDAA', 'UIADDAB', 'UIADDBA', 'UIADDBB', 'UIADBDD', 'UIBCACC', 'UIBCACD', 'UIBCADC', 'UIBCCBB', 'UIBCCBD', 'UIBCCDB']"
116,N,['UIBCCBD']
117,N,['UIBCCBD']
118,N,['UIBCCBD']
119,N,['UIBCCBD']
120,N,['UIBCCBD']
121,N,['UIBCCBD']
122,N,['UIBCCBD']
123,N,['UIBCCBD']
124,N,['UIBCCBD']
125,N,['UIBCCBD']
126,N,['UIBCCBD']
127,N,['UIBCCBD']
128,N,['UIBCCBD']
129,N,['UIBCCDB']
130,N,['UIBCCDB']
131,N,['UIBCCBD']
132,N,['UIBCCBD']
133,N,['UIBCCBD']
134,N,['UIBCCBD']
135,N,['UIBCCBD']
136,N,['UIBCCBD']
137,N,['UIBCCBD']
138,N,['UIBCCBD']
139,N,['UIBCCBD']
140,N,['UIBCCBD']
141,N,['UIBCCBD']
142,N,['UIBCCBD']
143,N,['UIBCCBD']
144,N,['UIBCCBD']
145,N,['UIBCCBD']
146,N,['UIBCCBD']
147,N,['UIBCCBD']
148,N,['UIBCCDB']
149,N,['UIBCCDB']
150,N,['UIBCCBD']
151,N,['UIBCCBD']
