Unnamed: 0,F1,grid_path,DBSCAN output
96,AN,"['UIBADDD', 'UIBADDC', 'UIBADDD', 'UIBADDC', 'UIBCBBA', 'UIBCBAB', 'UIBCBAA', 'UIBCBAC', 'UIBCBAD', 'UIBCBCB', 'UIBCBCD', 'UIBCDAA', 'UIBCCBB']",N
97,N,['UIBCCBD'],N
98,N,['UIBCCDB'],N
99,N,['UIBCCBD'],N
100,N,['UIBCCBD'],N
101,N,['UIBCCBD'],N
102,N,['UIBCCBD'],N
103,N,['UIBCCBD'],N
104,N,['UIBCCBD'],N
105,N,['UIBCCBC'],N
106,N,['UIBCCBD'],N
107,N,['UIBCCBD'],N
108,N,['UIBCCBD'],N
109,N,['UIBCCBD'],N
110,N,['UIBCCBD'],N
111,N,['UIBCCBD'],N
112,N,['UIBCCBD'],N
113,AN,"['UIBCADD', 'UIBCADC', 'UIBCACD', 'UIBCACC', 'UIADBDD']",N
114,AN,"['UIADBDD', 'UIADDBA', 'UIADDAB', 'UIADDAA', 'UIADDAC', 'UIADCBD', 'UIADCBC', 'UIADCDA', 'UIADCCB', 'UIADCCD', 'UIADCCC', 'UICABBB', 'UICABBA', 'UICABBC', 'UICABAD', 'UICABAC', 'UICABCA', 'UICAADB', 'UICAADD', 'UICAADC', 'UICACBA', 'UICACBC', 'UICACDA', 'UICACDC', 'UICCABA', 'UICCAAB', 'UICCAAD', 'UICCAAC', 'UICCAAA', 'UICCAAC', 'UHDDBBD']",N
115,AN,"['UICCAAC', 'UICCAAD', 'UICCABA', 'UICACDC', 'UICACDA', 'UICACBC', 'UICACBA', 'UICAADC', 'UICAADD', 'UICAADB', 'UICABCA', 'UICABAC', 'UICABAD', 'UICABBC', 'UICABBA', 'UICABBB', 'UICBAAA', 'UIADCCC', 'UIADCCD', 'UIADCCB', 'UIADCDA', 'UIADCBC', 'UIADCBD', 'UIADDAC', 'UIADDAA', 'UIADDAB', 'UIADDBA', 'UIADDBB', 'UIADBDD', 'UIBCACC', 'UIBCACD', 'UIBCADC', 'UIBCCBB', 'UIBCCBD', 'UIBCCDB']",N
116,N,['UIBCCBD'],N
117,N,['UIBCCBD'],N
118,N,['UIBCCBD'],N
119,N,['UIBCCBD'],N
120,N,['UIBCCBD'],N
121,N,['UIBCCBD'],N
122,N,['UIBCCBD'],N
123,N,['UIBCCBD'],N
124,N,['UIBCCBD'],N
125,N,['UIBCCBD'],N
126,N,['UIBCCBD'],N
127,N,['UIBCCBD'],N
128,N,['UIBCCBD'],N
129,N,['UIBCCDB'],N
130,N,['UIBCCDB'],N
131,N,['UIBCCBD'],N
132,N,['UIBCCBD'],N
133,N,['UIBCCBD'],N
134,N,['UIBCCBD'],N
135,N,['UIBCCBD'],N
136,N,['UIBCCBD'],N
137,N,['UIBCCBD'],N
138,N,['UIBCCBD'],N
139,N,['UIBCCBD'],N
140,N,['UIBCCBD'],N
141,N,['UIBCCBD'],N
142,N,['UIBCCBD'],N
143,N,['UIBCCBD'],N
144,N,['UIBCCBD'],N
145,N,['UIBCCBD'],N
146,N,['UIBCCBD'],N
147,N,['UIBCCBD'],N
148,N,['UIBCCDB'],N
149,N,['UIBCCDB'],N
150,N,['UIBCCBD'],N
